time,x,y
0.0100,-0.0000,0.0000
0.0200,-0.0001,0.0000
0.0300,-0.0002,0.0000
0.0400,-0.0003,0.0000
0.0500,-0.0005,0.0000
0.0600,-0.0007,0.0000
0.0700,-0.0009,0.0000
0.0800,-0.0012,0.0000
0.0900,-0.0015,0.0000
0.1000,-0.0018,0.0000
0.1100,-0.0022,0.0000
0.1200,-0.0026,0.0000
0.1300,-0.0031,0.0000
0.1400,-0.0036,0.0000
0.1500,-0.0041,0.0000
0.1600,-0.0047,0.0000
0.1700,-0.0053,0.0000
0.1800,-0.0059,0.0000
0.1900,-0.0066,0.0000
0.2000,-0.0073,0.0000
0.2100,-0.0081,0.0000
0.2200,-0.0089,0.0000
0.2300,-0.0097,0.0000
0.2400,-0.0105,0.0000
0.2500,-0.0114,0.0000
0.2600,-0.0124,0.0000
0.2700,-0.0133,0.0000
0.2800,-0.0143,0.0000
0.2900,-0.0154,0.0001
0.3000,-0.0165,0.0001
0.3100,-0.0176,0.0001
0.3200,-0.0187,0.0001
0.3300,-0.0199,0.0001
0.3400,-0.0212,0.0001
0.3500,-0.0224,0.0001
0.3600,-0.0237,0.0001
0.3700,-0.0250,0.0002
0.3800,-0.0264,0.0002
0.3900,-0.0278,0.0002
0.4000,-0.0293,0.0002
0.4100,-0.0308,0.0002
0.4200,-0.0323,0.0003
0.4300,-0.0338,0.0003
0.4400,-0.0354,0.0003
0.4500,-0.0371,0.0003
0.4600,-0.0387,0.0004
0.4700,-0.0404,0.0004
0.4800,-0.0422,0.0004
0.4900,-0.0439,0.0005
0.5000,-0.0457,0.0005
0.5100,-0.0476,0.0005
0.5200,-0.0495,0.0006
0.5300,-0.0514,0.0006
0.5400,-0.0534,0.0007
0.5500,-0.0553,0.0007
0.5600,-0.0574,0.0008
0.5700,-0.0594,0.0008
0.5800,-0.0615,0.0009
0.5900,-0.0637,0.0010
0.6000,-0.0659,0.0010
0.6100,-0.0681,0.0011
0.6200,-0.0703,0.0012
0.6300,-0.0726,0.0013
0.6400,-0.0749,0.0013
0.6500,-0.0773,0.0014
0.6600,-0.0797,0.0015
0.6700,-0.0821,0.0016
0.6800,-0.0846,0.0017
0.6900,-0.0871,0.0018
0.7000,-0.0896,0.0019
0.7100,-0.0922,0.0020
0.7200,-0.0948,0.0021
0.7300,-0.0975,0.0023
0.7400,-0.1002,0.0024
0.7500,-0.1029,0.0025
0.7600,-0.1056,0.0026
0.7700,-0.1084,0.0028
0.7800,-0.1113,0.0029
0.7900,-0.1141,0.0031
0.8000,-0.1170,0.0032
0.8100,-0.1200,0.0034
0.8200,-0.1230,0.0036
0.8300,-0.1260,0.0037
0.8400,-0.1290,0.0039
0.8500,-0.1321,0.0041
0.8600,-0.1352,0.0043
0.8700,-0.1384,0.0045
0.8800,-0.1416,0.0047
0.8900,-0.1448,0.0049
0.9000,-0.1481,0.0052
0.9100,-0.1514,0.0054
0.9200,-0.1547,0.0056
0.9300,-0.1581,0.0059
0.9400,-0.1615,0.0061
0.9500,-0.1650,0.0064
0.9600,-0.1685,0.0067
0.9700,-0.1720,0.0069
0.9800,-0.1755,0.0072
0.9900,-0.1791,0.0075
1.0000,-0.1828,0.0078
1.0100,-0.1864,0.0082
1.0200,-0.1901,0.0085
1.0300,-0.1939,0.0088
1.0400,-0.1976,0.0092
1.0500,-0.2014,0.0095
1.0600,-0.2053,0.0099
1.0700,-0.2092,0.0102
1.0800,-0.2131,0.0106
1.0900,-0.2170,0.0110
1.1000,-0.2210,0.0114
1.1100,-0.2250,0.0118
1.1200,-0.2291,0.0123
1.1300,-0.2332,0.0127
1.1400,-0.2373,0.0131
1.1500,-0.2415,0.0136
1.1600,-0.2457,0.0141
1.1700,-0.2499,0.0146
1.1800,-0.2542,0.0151
1.1900,-0.2585,0.0156
1.2000,-0.2628,0.0161
1.2100,-0.2672,0.0166
1.2200,-0.2716,0.0172
1.2300,-0.2761,0.0177
1.2400,-0.2806,0.0183
1.2500,-0.2851,0.0189
1.2600,-0.2896,0.0195
1.2700,-0.2942,0.0201
1.2800,-0.2988,0.0207
1.2900,-0.3035,0.0214
1.3000,-0.3082,0.0220
1.3100,-0.3129,0.0227
1.3200,-0.3177,0.0234
1.3300,-0.3225,0.0241
1.3400,-0.3273,0.0248
1.3500,-0.3322,0.0256
1.3600,-0.3371,0.0263
1.3700,-0.3420,0.0271
1.3800,-0.3470,0.0279
1.3900,-0.3520,0.0287
1.4000,-0.3570,0.0295
1.4100,-0.3621,0.0303
1.4200,-0.3672,0.0312
1.4300,-0.3724,0.0321
1.4400,-0.3775,0.0329
1.4500,-0.3827,0.0339
1.4600,-0.3880,0.0348
1.4700,-0.3933,0.0357
1.4800,-0.3986,0.0367
1.4900,-0.4039,0.0377
1.5000,-0.4093,0.0387
1.5100,-0.4147,0.0397
1.5200,-0.4202,0.0407
1.5300,-0.4256,0.0418
1.5400,-0.4312,0.0429
1.5500,-0.4367,0.0440
1.5600,-0.4423,0.0451
1.5700,-0.4479,0.0462
1.5800,-0.4535,0.0474
1.5900,-0.4592,0.0486
1.6000,-0.4649,0.0498
1.6100,-0.4707,0.0510
1.6200,-0.4765,0.0522
1.6300,-0.4823,0.0535
1.6400,-0.4881,0.0548
1.6500,-0.4940,0.0561
1.6600,-0.4999,0.0575
1.6700,-0.5058,0.0588
1.6800,-0.5118,0.0602
1.6900,-0.5178,0.0616
1.7000,-0.5238,0.0631
1.7100,-0.5299,0.0645
1.7200,-0.5360,0.0660
1.7300,-0.5421,0.0675
1.7400,-0.5483,0.0690
1.7500,-0.5545,0.0706
1.7600,-0.5607,0.0722
1.7700,-0.5670,0.0738
1.7800,-0.5732,0.0754
1.7900,-0.5796,0.0771
1.8000,-0.5859,0.0788
1.8100,-0.5923,0.0805
1.8200,-0.5987,0.0822
1.8300,-0.6051,0.0840
1.8400,-0.6116,0.0858
1.8500,-0.6181,0.0876
1.8600,-0.6246,0.0895
1.8700,-0.6312,0.0914
