x_central,y_central,x_border1,y_border1,x_border2,y_border2
6.007154967981548310e+01,-1.974526350205762526e+01,6.007398447025790489e+01,-1.972945873623369906e+01,5.992172642976691321e+01,-2.071779951203212633e+01
6.033847971407839594e+01,-2.064256829255402792e+01,6.046966288185473104e+01,-1.979041465754539075e+01,6.031751210134461871e+01,-2.077877195123536325e+01
6.076314784522872969e+01,-2.051581251329269051e+01,6.086530073955812270e+01,-1.985127642062563424e+01,6.071336477256554076e+01,-2.083966675947665337e+01
6.117484604448041097e+01,-2.047300889743764429e+01,6.126095153808356031e+01,-1.991205203348247466e+01,6.110923098232773043e+01,-2.090047546145306967e+01
6.151701580211177856e+01,-2.088352602564255633e+01,6.165661529694891385e+01,-1.997274125147899326e+01,6.150511074790290422e+01,-2.096119781178823160e+01
6.198390180780608461e+01,-2.048019394696557072e+01,6.205229203031508689e+01,-2.003334384264952917e+01,6.190100408756450179e+01,-2.102183357875117053e+01
6.237659832102107771e+01,-2.056095309777256830e+01,6.244798176168336568e+01,-2.009385955964503978e+01,6.229691101496868555e+01,-2.108238251308975464e+01
6.271866273642688583e+01,-2.097356968494639773e+01,6.284368451422058399e+01,-2.015428817999071143e+01,6.269283153634219730e+01,-2.114284438935122168e+01
6.313009355645851173e+01,-2.093199108260540697e+01,6.323940029907139859e+01,-2.021462946837343466e+01,6.308876567292261228e+01,-2.120321897337791839e+01
6.358889885461491076e+01,-2.057873650645823815e+01,6.363512912747574291e+01,-2.027488319227538938e+01,6.348471344471904132e+01,-2.126350603359600200e+01
6.394288302717325223e+01,-2.091422421753730987e+01,6.403087103165508154e+01,-2.033504911245791291e+01,6.388067485339867346e+01,-2.132370532572781130e+01
6.440414896098648967e+01,-2.054330284597774536e+01,6.442662601759262486e+01,-2.039512702068133976e+01,6.427664991616633472e+01,-2.138381664285858008e+01
6.482097803184599627e+01,-2.046446592106889995e+01,6.482239410264521950e+01,-2.045511666629595382e+01,6.467263865166022185e+01,-2.144383973414674571e+01
6.515553703680302533e+01,-2.092919722293460794e+01,6.521817531296989046e+01,-2.051501784311799881e+01,6.506864105662094744e+01,-2.150377438857201540e+01
6.561090894173825916e+01,-2.059509923984405333e+01,6.561396965484766497e+01,-2.057483032295834136e+01,6.546465715300402621e+01,-2.156362037994374248e+01
6.598024704931280837e+01,-2.083040887109263295e+01,6.600977714895562087e+01,-2.063455388600295493e+01,6.586068694623811837e+01,-2.162337748576868535e+01
6.627947931023348360e+01,-2.153193532726412229e+01,6.640559780108206667e+01,-2.069418831652712143e+01,6.625673045448034770e+01,-2.168304549181371144e+01
6.676902967945417799e+01,-2.096929545223199653e+01,6.680143163951828456e+01,-2.075373338577319515e+01,6.665278767792744929e+01,-2.174262416471825787e+01
6.707733772805669048e+01,-2.161235673524653222e+01,6.719727867226559681e+01,-2.081318890139821320e+01,6.704885862516296413e+01,-2.180211331186549018e+01
6.754049413040534944e+01,-2.122387060236237843e+01,6.759313891064407187e+01,-2.087255463165272928e+01,6.744494331290043476e+01,-2.186151270195167129e+01
6.796690521281604447e+01,-2.107958810451444620e+01,6.798901237956688703e+01,-2.093183038235470406e+01,6.784104173354033662e+01,-2.192082213556323467e+01
6.837646707623828490e+01,-2.104746089766189954e+01,6.838489908299091269e+01,-2.099101594730927189e+01,6.823715390277153858e+01,-2.198004140791275773e+01
6.871223632111463075e+01,-2.150979757588494223e+01,6.878079903270312911e+01,-2.105011112079949243e+01,6.863327982837850527e+01,-2.203917031233224577e+01
6.916754095456082041e+01,-2.117070233849880978e+01,6.917671225106600730e+01,-2.110911570269619375e+01,6.902941950612004973e+01,-2.209820864437876509e+01
6.949742911401691003e+01,-2.167387011327341995e+01,6.957263874561031969e+01,-2.116802950845653086e+01,6.942557294113125010e+01,-2.215715621881922814e+01
6.994583032377011023e+01,-2.138009305861278264e+01,6.996857852161323876e+01,-2.122685233739981570e+01,6.982174014514566807e+01,-2.221601283559834528e+01
