x_central,y_central,x_border1,y_border1,x_border2,y_border2
-3.052189623345188174e+00,-3.653069334651725342e+00,-5.159273877923585161e+00,-7.051163055305904592e+00,2.645941683236816111e+00,5.536304165855765902e+00
5.787701381974228454e-01,-7.272703113480288195e+00,-9.257313804975400018e-01,-9.692758109033521308e+00,6.889813246062731267e+00,2.878879460919122391e+00
7.509768469942422975e+00,-5.593084675709475206e+00,3.301744039144940857e+00,-1.233619251362477698e+01,1.113342709041417322e+01,2.136118507652229326e-01
8.810510343875638029e+00,-1.292880092348352328e+01,7.520611510083424989e+00,-1.498544900160697324e+01,1.537631648672891771e+01,-2.460109711994604709e+00
1.306354229035281023e+01,-1.552876729315795856e+01,1.172991560322803117e+01,-1.764195197162553796e+01,1.961643346475930372e+01,-5.145449860244601936e+00
2.064712581103559330e+01,-1.288447687035671763e+01,1.593263851233742301e+01,-2.030962082785388390e+01,2.384800250816152811e+01,-7.843213895076038611e+00
2.555258592364709358e+01,-1.448449631730174048e+01,2.014431189068683992e+01,-2.300034521849137903e+01,2.805670092190927178e+01,-1.054152581942346600e+01
2.674884729199818167e+01,-2.194309099518991957e+01,2.437724426521389987e+01,-2.570396403428396326e+01,3.224436616204386752e+01,-1.322833202382379447e+01
3.075034042799892831e+01,-2.501124243949437798e+01,2.863919463258165266e+01,-2.840790589081138151e+01,3.642069080784891355e+01,-1.588810564183372520e+01
3.942958082151914567e+01,-2.042262547042381726e+01,3.294017490793451231e+01,-3.109598871632936579e+01,4.059364378994298050e+01,-1.850804853248165216e+01
3.905915401395536435e+01,-3.075437619973176595e+01,3.728820673748555237e+01,-3.375520430960492035e+01,4.477112006951274736e+01,-2.107558534587538901e+01
4.170628164240923041e+01,-3.634631325003329749e+01,4.169346413272256058e+01,-3.636887136039210588e+01,4.896249069669703857e+01,-2.357578538349687847e+01
4.906232558837706392e+01,-3.357612720710757515e+01,4.615619503380181499e+01,-3.891917453429499574e+01,5.318232167612178785e+01,-2.600133534168691085e+01
5.476120455424534583e+01,-3.353614700135960192e+01,5.066473839140795832e+01,-4.127749959393032952e+01,5.752757250190276750e+01,-2.830836558383432688e+01
5.641806987667516182e+01,-4.109766211663360025e+01,5.519132360582902663e+01,-4.341599491543689027e+01,6.202171856710823761e+01,-3.050776030829824848e+01
6.281384305291724957e+01,-3.968052935471980192e+01,5.964115749540157196e+01,-4.551327077687582090e+01,6.658688317818354108e+01,-3.274408165855107455e+01
6.550432022200354254e+01,-4.496622409722479574e+01,6.397804170504067400e+01,-4.761256768456888722e+01,7.120639810837421635e+01,-3.507965550477656080e+01
7.506602198288861416e+01,-3.887081149376425060e+01,6.815093600517336370e+01,-4.975007505715721834e+01,7.587497990545851678e+01,-3.759810621147349963e+01
7.957355481608703940e+01,-4.173359312624093320e+01,7.206101758453199579e+01,-5.207950195720732722e+01,8.049264635441272731e+01,-4.046786398976623644e+01
7.749071600089655476e+01,-5.253279421183349029e+01,7.556326725853533333e+01,-5.479389990774717489e+01,8.487245948307023014e+01,-4.387321127897201478e+01
8.404461300991486894e+01,-5.255683533228392434e+01,7.895986597242435323e+01,-5.788390204521684268e+01,8.886800912427558785e+01,-4.750357453196257751e+01
8.844877264829995056e+01,-5.521975983280022149e+01,8.244799972226662987e+01,-6.143300314851450850e+01,9.241696075253801723e+01,-5.111106941607219056e+01
8.844795382003576378e+01,-6.269824991610362730e+01,8.618951676022095398e+01,-6.525749074339026379e+01,9.568445712089622646e+01,-5.449790861641061213e+01
9.589050368544960179e+01,-6.156594780735823491e+01,9.031556784482445721e+01,-6.907561467733469840e+01,9.886918452416895775e+01,-5.755354274114026225e+01
9.739559481547202324e+01,-6.817123783350317012e+01,9.469853407160795200e+01,-7.239840033302105837e+01,1.024170488583389869e+02,-6.030100270018223796e+01
1.046367737363675872e+02,-6.581007222253612099e+01,9.917607950406515727e+01,-7.522478978555196250e+01,1.063758900180940969e+02,-6.281168265791955463e+01
1.070271499612353807e+02,-7.165965820115377483e+01,1.036007590044605138e+02,-7.776946960981852897e+01,1.106198521644432020e+02,-6.525328683664506002e+01
1.147874595809140459e+02,-6.807709333548496033e+01,1.079628157699188904e+02,-8.019506610295724158e+01,1.150045567838130580e+02,-6.769161124067053947e+01
1.174667851399703267e+02,-7.353270694919815753e+01,1.123142902941206387e+02,-8.262505720968511014e+01,1.193891901488715348e+02,-7.014033486414430740e+01
1.172377229064863400e+02,-8.405290762916619940e+01,1.166603911928252444e+02,-8.506606298933999710e+01,1.237650051594952316e+02,-7.259822595220329333e+01
1.229988807806306994e+02,-8.402960793635143943e+01,1.210009099531163201e+02,-8.751870783218225824e+01,1.281317995458052508e+02,-7.506588029716515109e+01
1.262452152032600452e+02,-8.840189876813437309e+01,1.253371158931656026e+02,-8.998100234257061913e+01,1.324908558990531731e+02,-7.754128755773075454e+01
1.361490574828565059e+02,-8.122558766512763384e+01,1.296697898026887401e+02,-9.245183028177525841e+01,1.368429576063906552e+02,-8.002330809850930393e+01
1.393759147049021863e+02,-8.564270795815795623e+01,1.340002112651782227e+02,-9.492920471180238451e+01,1.411893911998797648e+02,-8.250993775008178943e+01
1.438205939057478133e+02,-8.794775876204938925e+01,1.383281597620365631e+02,-9.741373515288981366e+01,1.455299412335659781e+02,-8.500177142282939258e+01
1.437278032957571554e+02,-9.805750815162636513e+01,1.426549156516784649e+02,-9.990343158844228810e+01,1.498658933747785795e+02,-8.749680834611909575e+01
1.516353352784845185e+02,-9.439834547897136474e+01,1.469812596065467858e+02,-1.023971688421461010e+02,1.541980313015022830e+02,-8.999391498265869416e+01
1.543201127203059002e+02,-9.971924163390647777e+01,1.513079734908629916e+02,-1.048938205046303977e+02,1.585271375405530137e+02,-9.249195893373456556e+01
1.624433222972127453e+02,-9.569543866950458266e+01,1.556363441872681221e+02,-1.073913945668545864e+02,1.628544976253179755e+02,-9.498894477075506870e+01
1.663684628462185913e+02,-9.888083347681704538e+01,1.599661459641006331e+02,-1.098904868907829950e+02,1.671798910359494243e+02,-9.748547249988537544e+01
1.668189142442239756e+02,-1.080489105834371202e+02,1.642986669736071406e+02,-1.123891040436359248e+02,1.715046001851196706e+02,-9.997955020188879871e+01
1.727973886380372619e+02,-1.077026038526580436e+02,1.686343168373073809e+02,-1.148858954151176590e+02,1.758297841185856214e+02,-1.024702701548235098e+02
1.734960468141584045e+02,-1.164733182443909243e+02,1.729725955652208995e+02,-1.173781791099824829e+02,1.801581930549018580e+02,-1.049568390568203284e+02
1.806586458382653575e+02,-1.140733165058143470e+02,1.773119301954425850e+02,-1.198676358507961766e+02,1.844891236497752516e+02,-1.074414379560624724e+02
1.831556491872191259e+02,-1.197480237024272327e+02,1.816524772275242299e+02,-1.223538854847466126e+02,1.888227434353257763e+02,-1.099236890860866396e+02
1.907956539788238786e+02,-1.165047701045173056e+02,1.859938993709228896e+02,-1.248374216845948439e+02,1.931587087148198520e+02,-1.124040791305747433e+02
1.954559485560536416e+02,-1.184270696287400000e+02,1.903363522959600687e+02,-1.273178642506560720e+02,1.974971789791428023e+02,-1.148822275072714376e+02
1.946785024463837601e+02,-1.297974269583244791e+02,1.946784975277568890e+02,-1.297974355040976775e+02,2.018368153917501502e+02,-1.173603544414835511e+02
1.990204927195615880e+02,-1.322757532402279708e+02,1.990204912313317323e+02,-1.322757558264203226e+02,2.061777775402654527e+02,-1.198380810963130187e+02
2.079642802602614609e+02,-1.267562855282790082e+02,2.033619966462224511e+02,-1.347533167751194298e+02,2.105197211062550764e+02,-1.223158941902648564e+02
2.104323830867766958e+02,-1.324890813977094126e+02,2.077031683049625599e+02,-1.372297349532099133e+02,2.148628107678391643e+02,-1.247934163739930540e+02
2.175681511339654719e+02,-1.301155075530405441e+02,2.120426695637847558e+02,-1.397072345103274245e+02,2.192057028409662678e+02,-1.272728686531559958e+02
2.215403781572659909e+02,-1.332367318844790418e+02,2.163806595762866891e+02,-1.421854356154424295e+02,2.235485547919633404e+02,-1.297538718289721089e+02
2.222766958896809228e+02,-1.419626127802021358e+02,2.207167963564990316e+02,-1.446648229000568904e+02,2.278910298683195208e+02,-1.322369158551087196e+02
2.295738324570967848e+02,-1.393219038106938115e+02,2.250512401538395011e+02,-1.471450186632715713e+02,2.322332837359745099e+02,-1.347216233952977973e+02
2.318551871617787867e+02,-1.453568514691156963e+02,2.293798885566004344e+02,-1.496266405052377877e+02,2.365769777995175218e+02,-1.372119553932630538e+02
2.393853887389828401e+02,-1.424160662025194881e+02,2.336548932266920531e+02,-1.520837843877630462e+02,2.409719535688158203e+02,-1.397394282705036233e+02
2.427497702395405668e+02,-1.466525157204782772e+02,2.378145948890972932e+02,-1.545260525053052731e+02,2.454358587288304250e+02,-1.423671529874551425e+02
2.425000515794569083e+02,-1.560132631676868016e+02,2.418196403245767669e+02,-1.570074882328265744e+02,2.499240876486751972e+02,-1.451651728523397651e+02
2.460155789908887130e+02,-1.591365768724067777e+02,2.456540353864982933e+02,-1.596112880859397194e+02,2.543564845932077674e+02,-1.481848649008549899e+02
2.563969282938142555e+02,-1.540041617585207518e+02,2.494082586955697138e+02,-1.624651061600239359e+02,2.585717175034404818e+02,-1.513712184881365204e+02
2.560565923630344400e+02,-1.621790847472570078e+02,2.531431991947181075e+02,-1.655492049978875571e+02,2.625710365086309253e+02,-1.546433836357712153e+02
2.630318332503364900e+02,-1.617866597315228887e+02,2.569002084503529773e+02,-1.687982300508787432e+02,2.664072587472145983e+02,-1.579268290991640526e+02
2.641762609223746381e+02,-1.680935114634653473e+02,2.606901557255720832e+02,-1.721137913312857961e+02,2.701685825157792920e+02,-1.611829885436273457e+02
2.724200094838917039e+02,-1.661859123250479229e+02,2.644920646731955003e+02,-1.754117737047191667e+02,2.739384087301902468e+02,-1.644189296706722985e+02
2.715144679345086161e+02,-1.749210503475333098e+02,2.683035144101678497e+02,-1.786882650252268832e+02,2.777223827292358465e+02,-1.676376849685938168e+02
2.783263516439805585e+02,-1.746157171596300657e+02,2.721237911248852015e+02,-1.819457022412474316e+02,2.815205472666758055e+02,-1.708409202527651303e+02
