x_central,y_central,x_border1,y_border1,x_border2,y_border2
1.242679000000000089e+00,-1.293110999999999899e+00,-3.800017131804083625e+00,3.968652936389405639e+00,6.423066752307515337e+00,-6.698548238165130897e+00
-2.368511999999999951e+00,-4.753954000000000235e+00,-7.425001194964912621e+00,5.209077063581011302e-01,2.800082196960850922e+00,-1.014576214079494321e+01
-5.979275999999999591e+00,-8.215237000000000123e+00,-1.106066951556338296e+01,-2.915764956485627835e+00,-8.397461380313675505e-01,-1.357534043164501902e+01
-9.589589999999999392e+00,-1.167698299999999989e+01,-1.469593048893737297e+01,-6.352941695592340565e+00,-4.479096326443725573e+00,-1.700535455353690395e+01
-1.319943300000000086e+01,-1.513921900000000065e+01,-1.833007051028203804e+01,-9.791370859103802005e+00,-8.117948810893246048e+00,-2.043583286508947694e+01
-1.680878299999999825e+01,-1.860197000000000145e+01,-2.196445181612448749e+01,-1.322963391050955551e+01,-1.175628295282562163e+01,-2.386680164719470554e+01
-2.041761899999999841e+01,-2.206526099999999957e+01,-2.559836249426563626e+01,-1.666847882479371634e+01,-1.539407758743444177e+01,-2.729828571580622665e+01
-2.402592100000000030e+01,-2.552911900000000145e+01,-2.923109026771748020e+01,-2.010865426951706425e+01,-1.903062083249787406e+01,-3.073103405472294725e+01
-2.763366500000000059e+01,-2.899356699999999876e+01,-3.286399689760628462e+01,-2.354874117717680804e+01,-2.266727435444510874e+01,-3.416362744024098674e+01
-3.124083100000000002e+01,-3.245863200000000148e+01,-3.649637028432132979e+01,-2.698948838962046892e+01,-2.630332632761057710e+01,-3.759681490936909398e+01
-3.484739700000000084e+01,-3.592433900000000335e+01,-4.009700161736240887e+01,-3.046336139874880544e+01,-2.989301767201005333e+01,-4.107820419753727492e+01
-3.845334299999999672e+01,-3.939071299999999809e+01,-4.369566318978250052e+01,-3.393937848193942841e+01,-3.347996638203233033e+01,-4.456238101098566773e+01
