x_central,y_central,x_border1,y_border1,x_border2,y_border2
1.840506911978115170e+02,5.902605873704952444e+01,1.829326769068701424e+02,6.684971656177656030e+01,1.843473230931298303e+02,5.695028343822342975e+01
1.860180755744527232e+02,5.938227823699551777e+01,1.863448735404226397e+02,5.725758265080561671e+01,1.848246574175224453e+02,6.714135434685739767e+01
1.879428321624263276e+02,5.973083350325738650e+01,1.882768148830076314e+02,5.755438806636669824e+01,1.867600365173726971e+02,6.743868790952917891e+01
1.898565212100473616e+02,6.007726197551012604e+01,1.901976923241288659e+02,5.784881038182437862e+01,1.886843468619928785e+02,6.773363640519131934e+01
1.917591942107004286e+02,6.042149810096908169e+01,1.921075449472357661e+02,5.814086454418053052e+01,1.905976272267495517e+02,6.802621473915904460e+01
1.936510263259812348e+02,6.076266400969223014e+01,1.940064118390581598e+02,5.843056550072343214e+01,1.924999163837289871e+02,6.831643781646130265e+01
1.955319169330136901e+02,6.110168744142088570e+01,1.958943320896689784e+02,5.871792819903221528e+01,1.943912531016741241e+02,6.860432054183594630e+01
1.974021132465034043e+02,6.143721141747879244e+01,1.977713447925482626e+02,5.900296758698189592e+01,1.962716761459208499e+02,6.888987781972512892e+01
1.992614778081496638e+02,6.177040809582706515e+01,1.996374890446482198e+02,5.928569861274817754e+01,1.981412242783332260e+02,6.917312455427028794e+01
2.011099016876877386e+02,6.210227145472479293e+01,2.014928039464593041e+02,5.956613622481248171e+01,1.999999362572366124e+02,6.945407564930710009e+01
2.029476635482855613e+02,6.243123137087948749e+01,2.033373286020776902e+02,5.984429537196717774e+01,2.018478508373509328e+02,6.973274600836035120e+01
2.047747309784318475e+02,6.275777288684574273e+01,2.051711021192740532e+02,6.012019100332086197e+01,2.036850067697213831e+02,7.000915053463849347e+01
2.065911044645444292e+02,6.308216598186653812e+01,2.069941636095634010e+02,6.039383806830396395e+01,2.055114428016492241e+02,7.028330413102840168e+01
2.083970648584022740e+02,6.340280864110128789e+01,2.088065521882760436e+02,6.066525151667410398e+01,2.073271976766199032e+02,7.055522170008934779e+01
2.101923165448023099e+02,6.372194659771656688e+01,2.106083069746305227e+02,6.093444629852221794e+01,2.091323101342309201e+02,7.082491814404760078e+01
2.119771487598345914e+02,6.403791821996591693e+01,2.123994670918069687e+02,6.120143736427833403e+01,2.109268189101181861e+02,7.109240836479030179e+01
2.137514028258980545e+02,6.435206160649735807e+01,2.141800716670221334e+02,6.146623966471767631e+01,2.127107627358808770e+02,7.135770726385931084e+01
2.155153791319470997e+02,6.466262950537218046e+01,2.159501598316062427e+02,6.172886815096708801e+01,2.144841803390049790e+02,7.162082974244492561e+01
2.172690424798947788e+02,6.497012794442791517e+01,2.177097707210802753e+02,6.198933777451142646e+01,2.162471104427853277e+02,7.188179070137937288e+01
2.190122557304656823e+02,6.527575858219783811e+01,2.194589434752355999e+02,6.224766348720034159e+01,2.179995917662467093e+02,7.214060504113014360e+01
2.207454499675243085e+02,6.557687316465334959e+01,2.211977172382141816e+02,6.250386024125511852e+01,2.197416630240630298e+02,7.239728766179310071e+01
2.224680575017156059e+02,6.587760079245778400e+01,2.229261311585906071e+02,6.275794298927580428e+01,2.214733629264758008e+02,7.265185346308534520e+01
