x_central,y_central,x_border1,y_border1,x_border2,y_border2
6.002704040949495123e+01,-2.003418306661368931e+01,6.007398447025790489e+01,-1.972945873623369906e+01,5.992172642976691321e+01,-2.071779951203212633e+01
6.042275456542620304e+01,-2.009512671042752174e+01,6.046966288185473104e+01,-1.979041465754539075e+01,6.031751210134461871e+01,-2.077877195123536325e+01
6.081846638660450566e+01,-2.015594833539319808e+01,6.086530073955812270e+01,-1.985127642062563424e+01,6.071336477256554076e+01,-2.083966675947665337e+01
6.121417198289407224e+01,-2.021680973799383807e+01,6.126095153808356031e+01,-1.991205203348247466e+01,6.110923098232773043e+01,-2.090047546145306967e+01
6.160990468774835449e+01,-2.027749387040078943e+01,6.165661529694891385e+01,-1.997274125147899326e+01,6.150511074790290422e+01,-2.096119781178823160e+01
6.200567059598125041e+01,-2.033796038038186538e+01,6.205229203031508689e+01,-2.003334384264952917e+01,6.190100408756450179e+01,-2.102183357875117053e+01
6.240138279820590128e+01,-2.039877726215170739e+01,6.244798176168336568e+01,-2.009385955964503978e+01,6.229691101496868555e+01,-2.108238251308975464e+01
6.279718624038373775e+01,-2.045899649912657736e+01,6.284368451422058399e+01,-2.015428817999071143e+01,6.269283153634219730e+01,-2.114284438935122168e+01
6.319298940233328921e+01,-2.051921631275423508e+01,6.323940029907139859e+01,-2.021462946837343466e+01,6.308876567292261228e+01,-2.120321897337791839e+01
6.358888021065225615e+01,-2.057885904585702974e+01,6.363512912747574291e+01,-2.027488319227538938e+01,6.348471344471904132e+01,-2.126350603359600200e+01
6.398474439106660583e+01,-2.063867461308290174e+01,6.403087103165508154e+01,-2.033504911245791291e+01,6.388067485339867346e+01,-2.132370532572781130e+01
6.438056185974816970e+01,-2.069879643455479723e+01,6.442662601759262486e+01,-2.039512702068133976e+01,6.427664991616633472e+01,-2.138381664285858008e+01
6.477630661383155086e+01,-2.075939783288903584e+01,6.482239410264521950e+01,-2.045511666629595382e+01,6.467263865166022185e+01,-2.144383973414674571e+01
6.517218541775827134e+01,-2.081911411527332589e+01,6.521817531296989046e+01,-2.051501784311799881e+01,6.506864105662094744e+01,-2.150377438857201540e+01
6.556800111763159578e+01,-2.087924711306080638e+01,6.561396965484766497e+01,-2.057483032295834136e+01,6.546465715300402621e+01,-2.156362037994374248e+01
6.596384609987171643e+01,-2.093918627946898781e+01,6.600977714895562087e+01,-2.063455388600295493e+01,6.586068694623811837e+01,-2.162337748576868535e+01
6.635968262960714981e+01,-2.099918163980408536e+01,6.640559780108206667e+01,-2.069418831652712143e+01,6.625673045448034770e+01,-2.168304549181371144e+01
6.675558084164565287e+01,-2.105876717751463545e+01,6.680143163951828456e+01,-2.075373338577319515e+01,6.665278767792744929e+01,-2.174262416471825787e+01
6.715159352618911726e+01,-2.111758953347419165e+01,6.719727867226559681e+01,-2.081318890139821320e+01,6.704885862516296413e+01,-2.180211331186549018e+01
6.754750733726494616e+01,-2.117706916137441198e+01,6.759313891064407187e+01,-2.087255463165272928e+01,6.744494331290043476e+01,-2.186151270195167129e+01
6.794341594143092777e+01,-2.123658340265341948e+01,6.798901237956688703e+01,-2.093183038235470406e+01,6.784104173354033662e+01,-2.192082213556323467e+01
6.833918507850771107e+01,-2.129703144150609262e+01,6.838489908299091269e+01,-2.099101594730927189e+01,6.823715390277153858e+01,-2.198004140791275773e+01
6.873520459846132269e+01,-2.135580416243470481e+01,6.878079903270312911e+01,-2.105011112079949243e+01,6.863327982837850527e+01,-2.203917031233224577e+01
6.913120454201971654e+01,-2.141470681532256748e+01,6.917671225106600730e+01,-2.110911570269619375e+01,6.902941950612004973e+01,-2.209820864437876509e+01
6.952766489523114046e+01,-2.147051203888212001e+01,6.957263874561031969e+01,-2.116802950845653086e+01,6.942557294113125010e+01,-2.215715621881922814e+01
6.992367339279618932e+01,-2.152935077589317814e+01,6.996857852161323876e+01,-2.122685233739981570e+01,6.982174014514566807e+01,-2.221601283559834528e+01
7.031968982878827035e+01,-2.158813550905393441e+01,7.036453159987141248e+01,-2.128558400170642528e+01,7.021792111103852108e+01,-2.227477830241998191e+01
7.071553597941107228e+01,-2.164807067846276567e+01,7.076049798451425943e+01,-2.134422432341035503e+01,7.061411584452086743e+01,-2.233345244123301043e+01
7.111205168633327389e+01,-2.170347752074699699e+01,7.115647769086561425e+01,-2.140277311261164428e+01,7.101032434379888514e+01,-2.239203505928764670e+01
7.150809429088008073e+01,-2.176208123880810064e+01,7.155247073021111248e+01,-2.146123020643980084e+01,7.140654660287167133e+01,-2.245052599085425982e+01
7.190425081401519947e+01,-2.181991141919729316e+01,7.194847710790635631e+01,-2.151959542769137457e+01,7.180278262532671363e+01,-2.250892505817145306e+01
7.230033303135600420e+01,-2.187824482054130115e+01,7.234449683280868726e+01,-2.157786861461014638e+01,7.219903240670529954e+01,-2.256723209722834866e+01
7.269643639730965390e+01,-2.193643391812062404e+01,7.274052991146338343e+01,-2.163604960109050168e+01,7.259529594578940248e+01,-2.262544694049192273e+01
7.309251817419105635e+01,-2.199476996512255056e+01,7.313657635775361143e+01,-2.169413823248698137e+01,7.299157323081014681e+01,-2.268356942927461617e+01
7.348867525027063152e+01,-2.205259179506471057e+01,7.353263617464951096e+01,-2.175213436317327620e+01,7.338786425765103161e+01,-2.274159941664842677e+01
7.388471472835061604e+01,-2.211121775305166537e+01,7.392870937045992719e+01,-2.181003784349948660e+01,7.378416901803041128e+01,-2.279953675027985582e+01
7.428109374273418553e+01,-2.216751751874789989e+01,7.432479594889738905e+01,-2.186784854153688684e+01,7.418048750279692172e+01,-2.285738129611556246e+01
7.467722074217989814e+01,-2.222554290690548484e+01,7.472089591113859797e+01,-2.192556631713207338e+01,7.457681970739253074e+01,-2.291513291292748988e+01
7.507344080099989014e+01,-2.228292879695677442e+01,7.511700926839198189e+01,-2.198319104415391578e+01,7.497316561345137131e+01,-2.297279147004980970e+01
7.546982352246577364e+01,-2.233919272305195847e+01,7.551313603047205447e+01,-2.204072260789882876e+01,7.536952520051315219e+01,-2.303035684817071171e+01
7.586525979213544701e+01,-2.240198508254855625e+01,7.590927618594197668e+01,-2.209816090370523867e+01,7.576589846548041862e+01,-2.308782894364350469e+01
7.626132073385574017e+01,-2.246047604343479520e+01,7.630542974237322085e+01,-2.215550580973441441e+01,7.616228539175453705e+01,-2.314520763093408817e+01
7.665890886905397394e+01,-2.250839400511714672e+01,7.670159670913315608e+01,-2.221275724410804031e+01,7.655868594952602280e+01,-2.320249282232502708e+01
7.705449089174307176e+01,-2.257019725209793748e+01,7.709777707946631153e+01,-2.226991511494045639e+01,7.695510012716181336e+01,-2.325968442507342715e+01
