time,x,y
0.0100,0.0000,0.0000
0.0200,0.0001,0.0000
0.0300,0.0002,0.0000
0.0400,0.0004,0.0000
0.0500,0.0006,0.0000
0.0600,0.0009,0.0000
0.0700,0.0012,0.0000
0.0800,0.0016,0.0000
0.0900,0.0020,0.0000
0.1000,0.0025,0.0000
0.1100,0.0030,0.0000
0.1200,0.0036,0.0000
0.1300,0.0042,0.0000
0.1400,0.0049,0.0000
0.1500,0.0056,0.0000
0.1600,0.0064,0.0000
0.1700,0.0072,0.0000
0.1800,0.0081,0.0000
0.1900,0.0090,0.0000
0.2000,0.0099,0.0000
0.2100,0.0110,0.0000
0.2200,0.0120,0.0000
0.2300,0.0132,0.0000
0.2400,0.0143,0.0000
0.2500,0.0155,0.0000
0.2600,0.0168,0.0000
0.2700,0.0181,0.0000
0.2800,0.0195,0.0000
0.2900,0.0209,0.0000
0.3000,0.0224,0.0000
0.3100,0.0239,0.0000
0.3200,0.0255,0.0000
0.3300,0.0271,0.0000
0.3400,0.0287,0.0000
0.3500,0.0305,0.0000
0.3600,0.0322,0.0000
0.3700,0.0340,0.0000
0.3800,0.0359,0.0000
0.3900,0.0378,0.0000
0.4000,0.0398,0.0000
0.4100,0.0418,0.0000
0.4200,0.0439,0.0000
0.4300,0.0460,0.0000
0.4400,0.0481,0.0000
0.4500,0.0504,0.0000
0.4600,0.0526,0.0000
0.4700,0.0549,0.0000
0.4800,0.0573,0.0000
0.4900,0.0597,0.0000
0.5000,0.0622,0.0000
0.5100,0.0647,0.0000
0.5200,0.0672,0.0001
0.5300,0.0698,0.0001
0.5400,0.0725,0.0001
0.5500,0.0752,0.0001
0.5600,0.0780,0.0001
0.5700,0.0808,0.0001
0.5800,0.0836,0.0001
0.5900,0.0866,0.0001
0.6000,0.0895,0.0001
0.6100,0.0925,0.0001
0.6200,0.0956,0.0001
0.6300,0.0987,0.0001
0.6400,0.1018,0.0001
0.6500,0.1051,0.0001
0.6600,0.1083,0.0001
0.6700,0.1116,0.0002
0.6800,0.1150,0.0002
0.6900,0.1184,0.0002
0.7000,0.1218,0.0002
0.7100,0.1253,0.0002
0.7200,0.1289,0.0002
0.7300,0.1325,0.0002
0.7400,0.1362,0.0002
0.7500,0.1399,0.0003
0.7600,0.1436,0.0003
0.7700,0.1474,0.0003
0.7800,0.1513,0.0003
0.7900,0.1552,0.0003
0.8000,0.1591,0.0003
0.8100,0.1631,0.0004
0.8200,0.1672,0.0004
0.8300,0.1713,0.0004
0.8400,0.1754,0.0004
0.8500,0.1796,0.0004
0.8600,0.1839,0.0005
0.8700,0.1882,0.0005
0.8800,0.1925,0.0005
0.8900,0.1970,0.0005
0.9000,0.2014,0.0006
0.9100,0.2059,0.0006
0.9200,0.2105,0.0006
0.9300,0.2150,0.0007
0.9400,0.2197,0.0007
0.9500,0.2244,0.0007
0.9600,0.2291,0.0008
0.9700,0.2339,0.0008
0.9800,0.2388,0.0008
0.9900,0.2437,0.0009
1.0000,0.2486,0.0009
1.0100,0.2536,0.0010
1.0200,0.2587,0.0010
1.0300,0.2638,0.0011
1.0400,0.2689,0.0011
1.0500,0.2741,0.0011
1.0600,0.2794,0.0012
1.0700,0.2847,0.0013
1.0800,0.2900,0.0013
1.0900,0.2954,0.0014
1.1000,0.3008,0.0014
1.1100,0.3063,0.0015
1.1200,0.3119,0.0015
1.1300,0.3175,0.0016
1.1400,0.3231,0.0017
1.1500,0.3288,0.0017
1.1600,0.3345,0.0018
1.1700,0.3403,0.0019
1.1800,0.3462,0.0019
1.1900,0.3521,0.0020
1.2000,0.3580,0.0021
1.2100,0.3640,0.0022
1.2200,0.3700,0.0023
1.2300,0.3761,0.0023
1.2400,0.3823,0.0024
1.2500,0.3885,0.0025
1.2600,0.3947,0.0026
1.2700,0.4010,0.0027
1.2800,0.4073,0.0028
1.2900,0.4137,0.0029
1.3000,0.4201,0.0030
1.3100,0.4266,0.0031
1.3200,0.4332,0.0032
1.3300,0.4397,0.0033
1.3400,0.4464,0.0035
1.3500,0.4531,0.0036
1.3600,0.4598,0.0037
1.3700,0.4666,0.0038
1.3800,0.4734,0.0039
1.3900,0.4803,0.0041
1.4000,0.4872,0.0042
1.4100,0.4942,0.0043
1.4200,0.5012,0.0045
1.4300,0.5083,0.0046
1.4400,0.5154,0.0048
1.4500,0.5226,0.0049
1.4600,0.5299,0.0051
1.4700,0.5371,0.0052
1.4800,0.5445,0.0054
1.4900,0.5518,0.0056
1.5000,0.5593,0.0057
1.5100,0.5667,0.0059
1.5200,0.5743,0.0061
1.5300,0.5819,0.0063
1.5400,0.5895,0.0065
1.5500,0.5972,0.0067
1.5600,0.6049,0.0069
1.5700,0.6126,0.0071
1.5800,0.6205,0.0073
1.5900,0.6283,0.0075
1.6000,0.6363,0.0077
1.6100,0.6442,0.0079
1.6200,0.6523,0.0081
1.6300,0.6603,0.0084
1.6400,0.6685,0.0086
1.6500,0.6766,0.0088
1.6600,0.6848,0.0091
1.6700,0.6931,0.0093
1.6800,0.7014,0.0096
1.6900,0.7098,0.0098
1.7000,0.7182,0.0101
1.7100,0.7267,0.0104
1.7200,0.7352,0.0107
1.7300,0.7438,0.0109
1.7400,0.7524,0.0112
1.7500,0.7610,0.0115
1.7600,0.7697,0.0118
1.7700,0.7785,0.0121
1.7800,0.7873,0.0124
1.7900,0.7962,0.0128
1.8000,0.8051,0.0131
1.8100,0.8141,0.0134
1.8200,0.8231,0.0138
1.8300,0.8321,0.0141
1.8400,0.8412,0.0145
1.8500,0.8504,0.0148
1.8600,0.8596,0.0152
1.8700,0.8689,0.0156
1.8800,0.8782,0.0159
1.8900,0.8875,0.0163
1.9000,0.8969,0.0167
1.9100,0.9064,0.0171
1.9200,0.9159,0.0175
1.9300,0.9254,0.0179
1.9400,0.9350,0.0184
1.9500,0.9447,0.0188
1.9600,0.9544,0.0192
1.9700,0.9641,0.0197
1.9800,0.9739,0.0201
1.9900,0.9838,0.0206
2.0000,0.9937,0.0211
