time,x,y
0.0000,0.0000,0.0000
0.0100,0.0000,0.0000
0.0200,0.0001,-0.0000
0.0300,0.0002,0.0000
0.0400,0.0004,0.0000
0.0500,0.0006,0.0000
0.0600,0.0009,0.0000
0.0700,0.0012,0.0000
0.0800,0.0016,0.0000
0.0900,0.0020,0.0000
0.1000,0.0024,0.0000
0.1100,0.0029,0.0000
0.1200,0.0035,0.0000
0.1300,0.0040,0.0000
0.1400,0.0046,0.0000
0.1500,0.0053,0.0000
0.1600,0.0060,0.0000
0.1700,0.0067,0.0000
0.1800,0.0075,0.0000
0.1900,0.0083,0.0000
0.2000,0.0092,0.0000
0.2100,0.0101,0.0000
0.2200,0.0111,0.0000
0.2300,0.0121,0.0001
0.2400,0.0131,0.0001
0.2500,0.0142,0.0001
0.2600,0.0154,0.0001
0.2700,0.0166,0.0001
0.2800,0.0178,0.0001
0.2900,0.0191,0.0002
0.3000,0.0205,0.0002
0.3100,0.0219,0.0002
0.3200,0.0234,0.0003
0.3300,0.0249,0.0003
0.3400,0.0264,0.0003
0.3500,0.0280,0.0004
0.3600,0.0297,0.0004
0.3700,0.0314,0.0005
0.3800,0.0331,0.0005
0.3900,0.0349,0.0006
0.4000,0.0368,0.0006
0.4100,0.0387,0.0007
0.4200,0.0406,0.0007
0.4300,0.0426,0.0008
0.4400,0.0447,0.0009
0.4500,0.0468,0.0010
0.4600,0.0490,0.0011
0.4700,0.0512,0.0011
0.4800,0.0534,0.0012
0.4900,0.0557,0.0013
0.5000,0.0581,0.0014
0.5100,0.0605,0.0015
0.5200,0.0629,0.0017
0.5300,0.0654,0.0018
0.5400,0.0680,0.0019
0.5500,0.0706,0.0020
0.5600,0.0732,0.0022
0.5700,0.0759,0.0023
0.5800,0.0787,0.0024
0.5900,0.0815,0.0026
0.6000,0.0843,0.0028
0.6100,0.0872,0.0029
0.6200,0.0902,0.0031
0.6300,0.0932,0.0033
0.6400,0.0962,0.0035
0.6500,0.0993,0.0036
0.6600,0.1025,0.0038
0.6700,0.1057,0.0041
0.6800,0.1089,0.0043
0.6900,0.1122,0.0045
0.7000,0.1156,0.0047
0.7100,0.1190,0.0049
0.7200,0.1224,0.0052
0.7300,0.1259,0.0054
0.7400,0.1294,0.0057
0.7500,0.1330,0.0060
0.7600,0.1367,0.0062
0.7700,0.1404,0.0065
0.7800,0.1441,0.0068
0.7900,0.1479,0.0071
0.8000,0.1517,0.0074
0.8100,0.1556,0.0077
0.8200,0.1596,0.0080
0.8300,0.1636,0.0084
0.8400,0.1676,0.0087
0.8500,0.1717,0.0091
0.8600,0.1758,0.0094
0.8700,0.1800,0.0098
0.8800,0.1843,0.0102
0.8900,0.1885,0.0106
0.9000,0.1929,0.0110
0.9100,0.1973,0.0114
0.9200,0.2017,0.0118
0.9300,0.2062,0.0122
0.9400,0.2107,0.0127
0.9500,0.2153,0.0131
0.9600,0.2199,0.0136
0.9700,0.2246,0.0141
0.9800,0.2293,0.0145
0.9900,0.2341,0.0150
1.0000,0.2390,0.0155
1.0100,0.2438,0.0160
1.0200,0.2488,0.0166
1.0300,0.2537,0.0171
1.0400,0.2588,0.0177
1.0500,0.2638,0.0182
1.0600,0.2690,0.0188
1.0700,0.2741,0.0194
1.0800,0.2793,0.0200
1.0900,0.2846,0.0206
1.1000,0.2899,0.0212
1.1100,0.2953,0.0218
1.1200,0.3007,0.0225
1.1300,0.3062,0.0231
1.1400,0.3117,0.0238
1.1500,0.3173,0.0245
1.1600,0.3229,0.0252
1.1700,0.3285,0.0259
1.1800,0.3342,0.0266
1.1900,0.3400,0.0273
1.2000,0.3458,0.0281
1.2100,0.3517,0.0288
1.2200,0.3576,0.0296
1.2300,0.3635,0.0304
1.2400,0.3695,0.0312
1.2500,0.3756,0.0320
1.2600,0.3817,0.0329
1.2700,0.3878,0.0337
1.2800,0.3940,0.0346
1.2900,0.4002,0.0354
1.3000,0.4065,0.0363
1.3100,0.4129,0.0372
1.3200,0.4193,0.0381
1.3300,0.4257,0.0391
1.3400,0.4322,0.0400
1.3500,0.4387,0.0410
1.3600,0.4453,0.0420
1.3700,0.4519,0.0429
1.3800,0.4586,0.0440
1.3900,0.4653,0.0450
1.4000,0.4721,0.0460
1.4100,0.4789,0.0471
1.4200,0.4858,0.0481
1.4300,0.4927,0.0492
1.4400,0.4997,0.0503
1.4500,0.5067,0.0514
1.4600,0.5138,0.0526
1.4700,0.5209,0.0537
1.4800,0.5280,0.0549
1.4900,0.5353,0.0561
1.5000,0.5425,0.0573
1.5100,0.5498,0.0585
1.5200,0.5572,0.0597
1.5300,0.5646,0.0610
1.5400,0.5720,0.0623
1.5500,0.5795,0.0636
1.5600,0.5870,0.0649
1.5700,0.5946,0.0662
1.5800,0.6023,0.0675
1.5900,0.6100,0.0689
1.6000,0.6177,0.0703
1.6100,0.6255,0.0717
1.6200,0.6333,0.0731
1.6300,0.6412,0.0745
1.6400,0.6491,0.0760
1.6500,0.6571,0.0774
1.6600,0.6651,0.0789
1.6700,0.6731,0.0804
1.6800,0.6813,0.0820
1.6900,0.6894,0.0835
1.7000,0.6976,0.0851
1.7100,0.7059,0.0866
1.7200,0.7142,0.0883
1.7300,0.7225,0.0899
1.7400,0.7309,0.0915
1.7500,0.7394,0.0932
1.7600,0.7479,0.0949
1.7700,0.7564,0.0966
1.7800,0.7650,0.0983
1.7900,0.7736,0.1000
1.8000,0.7823,0.1018
1.8100,0.7910,0.1036
1.8200,0.7998,0.1054
1.8300,0.8086,0.1072
1.8400,0.8175,0.1091
1.8500,0.8264,0.1109
1.8600,0.8353,0.1128
1.8700,0.8443,0.1147
1.8800,0.8534,0.1166
1.8900,0.8625,0.1186
1.9000,0.8716,0.1206
1.9100,0.8808,0.1226
1.9200,0.8900,0.1246
1.9300,0.8993,0.1266
1.9400,0.9087,0.1287
1.9500,0.9180,0.1308
1.9600,0.9275,0.1329
1.9700,0.9369,0.1350
