time,x,y
0.0000,0.0000,-0.0000
0.0100,0.0001,-0.0000
0.0200,0.0001,-0.0000
0.0300,0.0002,-0.0000
0.0400,0.0004,-0.0000
0.0500,0.0005,-0.0000
0.0600,0.0007,-0.0000
0.0700,0.0010,-0.0000
0.0800,0.0012,-0.0000
0.0900,0.0015,-0.0000
0.1000,0.0018,-0.0000
0.1100,0.0022,-0.0000
0.1200,0.0025,-0.0000
0.1300,0.0029,-0.0000
0.1400,0.0034,-0.0000
0.1500,0.0038,-0.0000
0.1600,0.0043,-0.0000
0.1700,0.0049,-0.0000
0.1800,0.0054,-0.0000
0.1900,0.0060,-0.0000
0.2000,0.0066,-0.0000
0.2100,0.0073,-0.0000
0.2200,0.0079,-0.0000
0.2300,0.0086,-0.0000
0.2400,0.0094,-0.0000
0.2500,0.0101,-0.0000
0.2600,0.0109,-0.0000
0.2700,0.0118,-0.0000
0.2800,0.0126,-0.0000
0.2900,0.0135,-0.0000
0.3000,0.0144,-0.0000
0.3100,0.0154,-0.0000
0.3200,0.0163,-0.0000
0.3300,0.0173,-0.0000
0.3400,0.0184,-0.0000
0.3500,0.0194,-0.0000
0.3600,0.0205,-0.0000
0.3700,0.0217,-0.0000
0.3800,0.0228,-0.0000
0.3900,0.0240,-0.0000
0.4000,0.0252,-0.0000
0.4100,0.0265,-0.0000
0.4200,0.0277,-0.0000
0.4300,0.0290,-0.0000
0.4400,0.0304,-0.0000
0.4500,0.0317,-0.0000
0.4600,0.0331,-0.0000
0.4700,0.0346,-0.0000
0.4800,0.0360,-0.0000
0.4900,0.0375,-0.0000
0.5000,0.0390,-0.0000
0.5100,0.0406,-0.0000
0.5200,0.0421,-0.0000
0.5300,0.0437,-0.0000
0.5400,0.0454,-0.0000
0.5500,0.0470,-0.0000
0.5600,0.0487,-0.0000
0.5700,0.0505,-0.0000
0.5800,0.0522,-0.0000
0.5900,0.0540,-0.0000
0.6000,0.0558,-0.0000
0.6100,0.0577,-0.0000
0.6200,0.0595,-0.0000
0.6300,0.0614,-0.0000
0.6400,0.0634,-0.0000
0.6500,0.0653,-0.0000
0.6600,0.0673,-0.0000
0.6700,0.0694,-0.0000
0.6800,0.0714,-0.0000
0.6900,0.0735,-0.0000
0.7000,0.0756,-0.0000
0.7100,0.0778,-0.0000
0.7200,0.0799,-0.0000
0.7300,0.0821,-0.0000
0.7400,0.0844,-0.0000
0.7500,0.0866,-0.0000
0.7600,0.0889,-0.0000
0.7700,0.0913,-0.0000
0.7800,0.0936,-0.0000
0.7900,0.0960,-0.0000
0.8000,0.0984,-0.0000
0.8100,0.1009,-0.0000
0.8200,0.1033,-0.0000
0.8300,0.1058,-0.0000
0.8400,0.1084,-0.0000
0.8500,0.1109,-0.0000
0.8600,0.1135,-0.0000
0.8700,0.1162,-0.0000
0.8800,0.1188,-0.0000
0.8900,0.1215,-0.0000
0.9000,0.1242,-0.0000
0.9100,0.1270,-0.0000
0.9200,0.1297,-0.0000
0.9300,0.1325,-0.0000
0.9400,0.1354,-0.0000
0.9500,0.1382,-0.0000
0.9600,0.1411,-0.0000
0.9700,0.1441,-0.0000
0.9800,0.1470,-0.0000
0.9900,0.1500,-0.0000
1.0000,0.1530,-0.0000
1.0100,0.1561,-0.0000
1.0200,0.1591,-0.0000
1.0300,0.1622,-0.0000
1.0400,0.1654,-0.0000
1.0500,0.1685,-0.0000
1.0600,0.1717,-0.0000
1.0700,0.1750,-0.0000
1.0800,0.1782,-0.0000
1.0900,0.1815,-0.0000
1.1000,0.1848,-0.0000
1.1100,0.1882,-0.0000
1.1200,0.1915,-0.0000
1.1300,0.1949,-0.0000
1.1400,0.1984,-0.0000
1.1500,0.2018,-0.0000
1.1600,0.2053,-0.0000
1.1700,0.2089,-0.0000
1.1800,0.2124,-0.0000
1.1900,0.2160,-0.0000
1.2000,0.2196,-0.0000
1.2100,0.2233,-0.0000
1.2200,0.2269,-0.0000
1.2300,0.2306,-0.0000
1.2400,0.2344,-0.0000
1.2500,0.2381,-0.0000
1.2600,0.2419,-0.0000
1.2700,0.2458,-0.0000
1.2800,0.2496,-0.0000
1.2900,0.2535,-0.0000
1.3000,0.2574,-0.0000
1.3100,0.2614,-0.0000
1.3200,0.2653,-0.0000
1.3300,0.2693,-0.0000
1.3400,0.2734,-0.0000
1.3500,0.2774,-0.0000
1.3600,0.2815,-0.0000
1.3700,0.2857,-0.0000
1.3800,0.2898,-0.0000
1.3900,0.2940,-0.0000
1.4000,0.2982,-0.0000
1.4100,0.3025,-0.0000
1.4200,0.3067,-0.0000
1.4300,0.3110,-0.0000
1.4400,0.3154,-0.0000
1.4500,0.3197,-0.0000
1.4600,0.3241,-0.0000
1.4700,0.3286,-0.0000
1.4800,0.3330,-0.0000
1.4900,0.3375,-0.0000
1.5000,0.3420,-0.0000
1.5100,0.3466,-0.0000
1.5200,0.3511,-0.0000
1.5300,0.3557,-0.0000
1.5400,0.3604,-0.0000
1.5500,0.3650,-0.0000
1.5600,0.3697,-0.0000
1.5700,0.3745,-0.0000
1.5800,0.3792,-0.0000
1.5900,0.3840,-0.0000
1.6000,0.3888,-0.0000
1.6100,0.3937,-0.0000
1.6200,0.3985,-0.0000
1.6300,0.4034,-0.0000
1.6400,0.4084,-0.0000
1.6500,0.4133,-0.0000
1.6600,0.4183,-0.0000
1.6700,0.4234,-0.0000
1.6800,0.4284,-0.0000
1.6900,0.4335,-0.0000
1.7000,0.4386,-0.0000
1.7100,0.4438,-0.0000
