x_central,y_central,x_border1,y_border1,x_border2,y_border2
5.999785545001240905e+01,-2.022362912413291269e+01,6.007394866720983373e+01,-1.972945322195177198e+01,5.992176223281498437e+01,-2.071780502631405341e+01
6.065785665132823823e+01,-2.032525612484383970e+01,6.073386026305008301e+01,-1.983106643352558152e+01,6.058185303960639345e+01,-2.081944581616209788e+01
6.131789466332961780e+01,-2.042664377536723208e+01,6.139371864634488674e+01,-1.993242649157426172e+01,6.124207068031434886e+01,-2.092086105916020244e+01
6.197796956714864081e+01,-2.052779096648108847e+01,6.205361309123702540e+01,-2.003354602997340095e+01,6.190232604306025621e+01,-2.102203590298877600e+01
6.263808144256274346e+01,-2.062869658979102994e+01,6.271354368874722951e+01,-2.013442394296461302e+01,6.256261919637825741e+01,-2.112296923661744685e+01
6.329823036366543931e+01,-2.072935956610756492e+01,6.337351052221713843e+01,-2.023505915367760366e+01,6.322295020511374020e+01,-2.122365997853752617e+01
6.395841640403308759e+01,-2.082977881173823320e+01,6.403351367433799624e+01,-2.033545058070873424e+01,6.388331913372818605e+01,-2.132410704276773217e+01
6.461863963165230018e+01,-2.092995327184149801e+01,6.469355322452950929e+01,-2.043559717184653834e+01,6.454372603877509107e+01,-2.142430937183645767e+01
6.527890011307074758e+01,-2.102988189326357471e+01,6.535362924680330821e+01,-2.053549787595357046e+01,6.520417097933818695e+01,-2.152426591057357896e+01
6.593919791089297178e+01,-2.112956364110055318e+01,6.601374181358704618e+01,-2.063515166049011285e+01,6.586465400819889737e+01,-2.162397562171099352e+01
6.659953308534757355e+01,-2.122899748843672540e+01,6.667389100440762206e+01,-2.073455750231802597e+01,6.652517516628752503e+01,-2.172343747455542484e+01
6.725990568895532817e+01,-2.132818245191730000e+01,6.733407688365988975e+01,-2.083371442072003532e+01,6.718573449425076660e+01,-2.182265048311456468e+01
6.792031577489107974e+01,-2.142711753634224081e+01,6.799429951936616590e+01,-2.093262142356333655e+01,6.784633203041599359e+01,-2.192161364912114507e+01
6.858076338749468448e+01,-2.152580179801794458e+01,6.865455897454754108e+01,-2.103127757077369253e+01,6.850696780044182788e+01,-2.202032602526219662e+01
6.924124857026357915e+01,-2.162423429164275390e+01,6.931485530571278275e+01,-2.112968191979877020e+01,6.916764183481437556e+01,-2.211878666348673761e+01
6.990177136019947568e+01,-2.172241410827866659e+01,6.997518857814198157e+01,-2.122783356669864929e+01,6.982835414225696979e+01,-2.221699464985868389e+01
7.056233178744955126e+01,-2.182034037815896710e+01,7.063555884260406970e+01,-2.132573164552943012e+01,7.048910473229503282e+01,-2.231494911078850407e+01
7.122292987880300075e+01,-2.191801224742857812e+01,7.129596614477468108e+01,-2.142337530597260908e+01,7.114989361283132041e+01,-2.241264918888454716e+01
7.188356565496400208e+01,-2.201542889676925796e+01,7.195641053333912396e+01,-2.152076373355830796e+01,7.181072077658888020e+01,-2.251009405998020796e+01
7.254423912977109978e+01,-2.211258954706680413e+01,7.261689205095362354e+01,-2.161789615410137699e+01,7.247158620858857603e+01,-2.260728294003223127e+01
7.320495031076224279e+01,-2.220949345597839653e+01,7.327741073344539302e+01,-2.171477183006683376e+01,7.313248988807909257e+01,-2.270421508188995929e+01
7.386569919893439362e+01,-2.230613991995387480e+01,7.393796661493293243e+01,-2.181139006337492248e+01,7.379343178293585481e+01,-2.280088977653282711e+01
7.452648578721552042e+01,-2.240252828512229044e+01,7.459855972577089744e+01,-2.190775020620092661e+01,7.445441184866014339e+01,-2.289730636404365427e+01
7.518731006045437937e+01,-2.249865794790482809e+01,7.525919008181837455e+01,-2.200385166002167026e+01,7.511543003909038418e+01,-2.299346423578798593e+01
7.584817199807126542e+01,-2.259452833726239263e+01,7.591985770522755672e+01,-2.209969386050324403e+01,7.577648629091497412e+01,-2.308936281402154123e+01
7.650907156701222789e+01,-2.269013896375912864e+01,7.658056261012259824e+01,-2.219527632548969009e+01,7.643758052390185753e+01,-2.318500160202856719e+01
7.717000872724624116e+01,-2.278548938237340948e+01,7.724130479924967574e+01,-2.229059861653019681e+01,7.709871265524280659e+01,-2.328038014821662216e+01
7.783098342817454807e+01,-2.288057921793327409e+01,7.790208427029280358e+01,-2.238566036574629692e+01,7.775988258605629255e+01,-2.337549807012025127e+01
7.849199561028102323e+01,-2.297540815438564010e+01,7.856290102060822278e+01,-2.248046126553156299e+01,7.842109019995382369e+01,-2.347035504323971722e+01
7.915304520041139824e+01,-2.306997596847228493e+01,7.922375503763775839e+01,-2.257500110151496031e+01,7.908233536318503809e+01,-2.356495083542960955e+01
7.981413211530934859e+01,-2.316428250599920702e+01,7.988464629072997525e+01,-2.266927972715372519e+01,7.974361793988872193e+01,-2.365928528484468885e+01
8.047525626138366306e+01,-2.325832768422214158e+01,8.054557475759759200e+01,-2.276329706992620672e+01,8.040493776516973412e+01,-2.375335829851807645e+01
8.113641752807960472e+01,-2.335211153940933215e+01,8.120654039979751815e+01,-2.285705317632268319e+01,8.106629465636169130e+01,-2.384716990249598112e+01
8.179761579449406383e+01,-2.344563418143413713e+01,8.186754317055849128e+01,-2.295054816660767827e+01,8.172768841842963639e+01,-2.394072019626059600e+01
8.245885092232713021e+01,-2.353889584458127615e+01,8.252858301465452939e+01,-2.304378228659720662e+01,8.238911882999973102e+01,-2.403400940256534568e+01
8.312012275986951693e+01,-2.363189686062368366e+01,8.318965986720380101e+01,-2.313675587998929828e+01,8.305058565253523284e+01,-2.412703784125806905e+01
8.378143113697636579e+01,-2.372463769577368708e+01,8.385077365015675355e+01,-2.322946942552020033e+01,8.371208862379597804e+01,-2.421980596602717384e+01
8.444277586848075146e+01,-2.381711892780096207e+01,8.451192427983988864e+01,-2.332192351464923874e+01,8.437362745712161427e+01,-2.431231434095268540e+01
8.510415674768005090e+01,-2.390934129402003094e+01,8.517311165888440883e+01,-2.341411889931155343e+01,8.503520183647569297e+01,-2.440456368872850845e+01
8.576557355034935881e+01,-2.400130566424345346e+01,8.583433567737812098e+01,-2.350605646445966812e+01,8.569681142332059665e+01,-2.449655486402723881e+01
8.642702602935418099e+01,-2.409301308112969409e+01,8.649559621173662549e+01,-2.359773726899262059e+01,8.635845584697173649e+01,-2.458828889326676759e+01
8.708851391708618905e+01,-2.418446474450785999e+01,8.715689312715609560e+01,-2.368916253006680250e+01,8.702013470701628250e+01,-2.467976695894891748e+01
8.775003692013541468e+01,-2.427566205177398473e+01,8.781822627178506480e+01,-2.378033366340763877e+01,8.768184756848576455e+01,-2.477099044014033069e+01
8.841159472192973112e+01,-2.436660658087610543e+01,8.847959548391665408e+01,-2.387125226690559288e+01,8.834359395994280817e+01,-2.486196089484661798e+01
8.907318697580075195e+01,-2.445730014287505227e+01,8.914100057951392841e+01,-2.396192017239640037e+01,8.900537337208757549e+01,-2.495268011335370417e+01
8.973481330967865688e+01,-2.454774475012590429e+01,8.980244136014204059e+01,-2.405233941427401589e+01,8.966718525921527316e+01,-2.504315008597779268e+01
9.039647331803695351e+01,-2.463794267749041822e+01,9.046391761275890531e+01,-2.414251229175549085e+01,9.032902902331500172e+01,-2.513337306322534559e+01
9.105816656374754814e+01,-2.472789645147195259e+01,9.112542909990143869e+01,-2.423244135640263508e+01,9.099090402759365759e+01,-2.522335154654127010e+01
9.171989257435559750e+01,-2.481760888026191125e+01,9.178697556467061247e+01,-2.432212944334207805e+01,9.165280958404058254e+01,-2.531308831718174446e+01
9.238165084078593736e+01,-2.490708306613869283e+01,9.244855673277521646e+01,-2.441157968409461532e+01,9.231474494879665826e+01,-2.540258644818277034e+01
9.304344081247838005e+01,-2.499632244442999607e+01,9.311017230603003725e+01,-2.450079554529295933e+01,9.297670931892672286e+01,-2.549184934356703280e+01
9.370526189673864792e+01,-2.508533079153771794e+01,9.377182195743270654e+01,-2.458978083611404486e+01,9.363870183604458930e+01,-2.558088074696139103e+01
9.436711345546321184e+01,-2.517411225248436679e+01,9.443350533920474277e+01,-2.467853973733320316e+01,9.430072157172168090e+01,-2.566968476763553042e+01
9.502899480046033887e+01,-2.526267137916478944e+01,9.509522207501318292e+01,-2.476707683913705438e+01,9.496276752590749481e+01,-2.575826591919252451e+01
9.569090519134421413e+01,-2.535101314961303487e+01,9.575697175693468921e+01,-2.485539716025122914e+01,9.562483862575373905e+01,-2.584662913897484060e+01
9.635284383123216401e+01,-2.543914300377074511e+01,9.641875394961591894e+01,-2.494350618482501858e+01,9.628693371284840907e+01,-2.593477982271647164e+01
9.701480986165505271e+01,-2.552706688535969803e+01,9.708056818097807650e+01,-2.503140990372843788e+01,9.694905154233202893e+01,-2.602272386699095819e+01
9.767680235978845360e+01,-2.561479126641545179e+01,9.774241394503077629e+01,-2.511911483982045112e+01,9.761119077454613091e+01,-2.611046769301045245e+01
9.833882033140749002e+01,-2.570232320407277982e+01,9.840429069880735824e+01,-2.520662810525443831e+01,9.827334996400762179e+01,-2.619801830289112132e+01
9.900086270672120747e+01,-2.578967037573070087e+01,9.906619785544410206e+01,-2.529395743627747351e+01,9.893552755799831289e+01,-2.628538331518392823e+01
9.966292833430922826e+01,-2.587684112847914975e+01,9.972813478596954440e+01,-2.538111124370128735e+01,9.959772188264891213e+01,-2.637257101325701214e+01
1.003250159741641738e+02,-2.596384453523906544e+01,1.003901008155146286e+02,-2.546809866947074141e+01,1.002599311328137190e+02,-2.645959040100738946e+01
1.009871242904837061e+02,-2.605069045265041794e+01,1.010520952174041440e+02,-2.555492964474493434e+01,1.009221533635632682e+02,-2.654645126055590154e+01
1.016492518441968542e+02,-2.613738958068308094e+01,1.017141172099541393e+02,-2.564161495010465686e+01,1.015843864784395691e+02,-2.663316421126150502e+01
1.023113970841622660e+02,-2.622395353193337542e+01,1.023761659530557324e+02,-2.572816628560460828e+01,1.022466282152687995e+02,-2.671974077826214256e+01
1.029735583376742056e+02,-2.631039490562023531e+01,1.030382405443499181e+02,-2.581459634557839777e+01,1.029088761309984932e+02,-2.680619346566207284e+01
1.036357337995002865e+02,-2.639672737202378627e+01,1.037003400109404083e+02,-2.590091890351668624e+01,1.035711275880601647e+02,-2.689253584053088630e+01
1.042979215212109239e+02,-2.648296575362675398e+01,1.043624633059011302e+02,-2.598714889426333841e+01,1.042333797365207175e+02,-2.697878261299016955e+01
1.049601193974001205e+02,-2.656912612872644530e+01,1.050246093025940866e+02,-2.607330251883269412e+01,1.048956294922061545e+02,-2.706494973862019648e+01
1.056223251517918129e+02,-2.665522593420390862e+01,1.056867767845314035e+02,-2.615939734785858661e+01,1.055578735190522224e+02,-2.715105452054923063e+01
1.062845363216437704e+02,-2.674128407916781924e+01,1.063489644395364593e+02,-2.624545243674792872e+01,1.062201082037510815e+02,-2.723711572158770977e+01
1.069467502398185559e+02,-2.682732107378592090e+01,1.070111708505721424e+02,-2.633148845594988785e+01,1.068823296290649694e+02,-2.732315369162195395e+01
1.076089640153438296e+02,-2.691335916632019476e+01,1.076733944851873446e+02,-2.641752782951730083e+01,1.075445335455003146e+02,-2.740919050312308869e+01
1.082711745114032595e+02,-2.699942249569397745e+01,1.083356336842873304e+02,-2.650359488953322540e+01,1.082067153385191887e+02,-2.749525010185472951e+01
1.089333783209253852e+02,-2.708553725731972506e+01,1.089978866492955802e+02,-2.658971604400701949e+01,1.088688699925551902e+02,-2.758135847063243062e+01
1.095955717390446864e+02,-2.717173188657797667e+01,1.096601514282820631e+02,-2.667591996282260425e+01,1.095309920498073097e+02,-2.766754381033334909e+01
1.102577507320883115e+02,-2.725803726115111658e+01,1.103224258982896941e+02,-2.676223778265520181e+01,1.101930755658869288e+02,-2.775383673964703135e+01
1.109199109031300594e+02,-2.734448692013321036e+01,1.109847077475022985e+02,-2.684870332927990333e+01,1.108551140587578203e+02,-2.784027051098651739e+01
1.115820474524231400e+02,-2.743111731073992843e+01,1.116469944527799356e+02,-2.693535336777447498e+01,1.115171004520663445e+02,-2.792688125370538188e+01
1.122441551336146688e+02,-2.751796805310006278e+01,1.123092832580790343e+02,-2.702222787175124807e+01,1.121790270091503032e+02,-2.801370823444887748e+01
1.129062282023000279e+02,-2.760508224627661278e+01,1.129715711406576020e+02,-2.710937033356238501e+01,1.128408852639424538e+02,-2.810079415899084054e+01
1.135682603610513297e+02,-2.769250678020388534e+01,1.136338547828594869e+02,-2.719682808202566804e+01,1.135026659392431725e+02,-2.818818547838210264e+01
1.142302446924801558e+02,-2.778029271317185689e+01,1.142961305357194277e+02,-2.728465266670602674e+01,1.141643588492408838e+02,-2.827593275963768704e+01
1.148921735860939464e+02,-2.786849566534247913e+01,1.149583943673245443e+02,-2.737290025764260193e+01,1.148259528048633484e+02,-2.836409107304235633e+01
1.155540386547377381e+02,-2.795717625367095849e+01,1.156206418225800689e+02,-2.746163209011601936e+01,1.154874354868954072e+02,-2.845272041722589762e+01
1.162158306351039556e+02,-2.804640060113763056e+01,1.162828679564329661e+02,-2.755091498323431409e+01,1.161487933137749451e+02,-2.854188621904094703e+01
1.168775392791635284e+02,-2.813624085904582373e+01,1.169450672604348540e+02,-2.764082187298915372e+01,1.168100112978922027e+02,-2.863165984510249373e+01
1.175391532258706775e+02,-2.822677581008246861e+01,1.176072335948326923e+02,-2.773143243083732656e+01,1.174710728569086626e+02,-2.872211918932761066e+01
1.182006598510661490e+02,-2.831809155189979421e+01,1.182693600782947243e+02,-2.782283376167460176e+01,1.181319596238375738e+02,-2.881334934212498666e+01
1.188620451006881069e+02,-2.841028220653405256e+01,1.189314389777055823e+02,-2.791512113190026767e+01,1.187926512236706316e+02,-2.890544328116783745e+01
1.195232932907297538e+02,-2.850345075510270831e+01,1.195934615779211612e+02,-2.800839882704604022e+01,1.194531250035383465e+02,-2.899850268315937640e+01
1.201843868791165022e+02,-2.859770993363772362e+01,1.202554180134431192e+02,-2.810278107212702636e+01,1.201133557447898852e+02,-2.909263879514842088e+01
1.208453062000123168e+02,-2.869318322747084693e+01,1.209172970787161034e+02,-2.819839305640491389e+01,1.207733153213085302e+02,-2.918797339853677997e+01
1.215060291543943691e+02,-2.879000597000472084e+01,1.215790860076588160e+02,-2.829537206883022904e+01,1.214329723011299222e+02,-2.928463987117921263e+01
1.221665308461652870e+02,-2.888832657464978837e+01,1.222407701859170146e+02,-2.839386877014749544e+01,1.220922915064135594e+02,-2.938278437915208130e+01
1.228267831652583197e+02,-2.898830783691465385e+01,1.229023328343796209e+02,-2.849404854515003649e+01,1.227512334961370186e+02,-2.948256712867927121e+01
1.234867542893258161e+02,-2.909012843444056529e+01,1.235637546060586800e+02,-2.859609305997529560e+01,1.234097539725929522e+02,-2.958416380890583497e+01
1.241464081137160491e+02,-2.919398448326778706e+01,1.242250087421097504e+02,-2.870020118948789900e+01,1.240678074853223478e+02,-2.968776777704767511e+01
1.248057054708598486e+02,-2.930007962759576046e+01,1.248855075521009041e+02,-2.880648908085727555e+01,1.247259033896187930e+02,-2.979367017433424536e+01
1.254648462777660995e+02,-2.940714518939163824e+01,1.255450246493041249e+02,-2.891361562721981571e+01,1.253846679062280742e+02,-2.990067475156346077e+01
1.261239814292653847e+02,-2.951424556148137057e+01,1.262041979478046585e+02,-2.902072219815047660e+01,1.260437649107261109e+02,-3.000776892481226454e+01
1.267831056766845990e+02,-2.962141301817123207e+01,1.268633825759436462e+02,-2.912789947281978797e+01,1.267028287774255517e+02,-3.011492656352267616e+01
1.274422146009926990e+02,-2.972867467396159924e+01,1.275225708798846114e+02,-2.923517404737370384e+01,1.273618583221007867e+02,-3.022217530054949464e+01
1.281013043383322270e+02,-2.983605416264694910e+01,1.281817568159416396e+02,-2.934256920963773396e+01,1.280208518607228143e+02,-3.032953911565616423e+01
