x_central,y_central,x_border1,y_border1,x_border2,y_border2
6.005354833028813033e+01,-1.986106028763966336e+01,6.007376827450803347e+01,-1.972942547878304609e+01,5.992194262551678463e+01,-2.071783276948277930e+01
6.206024429372159545e+01,-2.016878707115484914e+01,6.206024429372159545e+01,-2.003456091181531207e+01,6.190896305413660627e+01,-2.102305167381040008e+01
6.389829258725222161e+01,-2.045066052573062976e+01,6.404677939447161350e+01,-2.033746583865338309e+01,6.389659431631959308e+01,-2.132612373818206564e+01
6.595352254329827701e+01,-2.076585177007137517e+01,6.603364427457911745e+01,-2.063815230061151951e+01,6.588456966033525930e+01,-2.162697825060881129e+01
6.802084096543485714e+01,-2.108289689056553584e+01,6.802084096543485714e+01,-2.093659221003927584e+01,6.787289045008300548e+01,-2.192558697494307651e+01
6.986155870121609723e+01,-2.136522715383252802e+01,7.000837127768808443e+01,-2.123275900291893592e+01,6.986155762764560961e+01,-2.222192317137693252e+01
7.196495187455445830e+01,-2.168784824540750122e+01,7.199623676366437053e+01,-2.152662811388379893e+01,7.185057162340009995e+01,-2.251596206504073550e+01
7.393401880125280456e+01,-2.198987024108519961e+01,7.398443866828812077e+01,-2.181817752553510559e+01,7.383993226165939916e+01,-2.280768139032960562e+01
7.597297787733846519e+01,-2.230263084935258888e+01,7.597297787733846519e+01,-2.210738842596525089e+01,7.582963864487167882e+01,-2.309706204107067506e+01
7.791581069320504582e+01,-2.260068296741263438e+01,7.796185485803989934e+01,-2.239424601794397418e+01,7.781968901048331588e+01,-2.338408887001117265e+01
7.981008056207804202e+01,-2.289130988016167123e+01,7.995106958245398232e+01,-2.267874051450993989e+01,7.981008056207804202e+01,-2.366875167411039627e+01
8.180080926733170088e+01,-2.319674862974819618e+01,8.194062144417669913e+01,-2.296086832086886176e+01,8.180080926733170088e+01,-2.395104636304403556e+01
8.385848947958967869e+01,-2.351248127849004277e+01,8.393050915281362734e+01,-2.324063351013067802e+01,8.379186961049136073e+01,-2.423097641907922650e+01
8.592073062232019254e+01,-2.382895489086106977e+01,8.592073062232019254e+01,-2.351804958014674440e+01,8.578325429107779598e+01,-2.450855463230353593e+01
8.784025103502182219e+01,-2.412353850316000958e+01,8.791128282072850197e+01,-2.379314169647026844e+01,8.777495384754095653e+01,-2.478380531802384112e+01
8.976695620604404269e+01,-2.441922470697388903e+01,8.990216160269527279e+01,-2.406594936338442636e+01,8.976695620604404269e+01,-2.505676695543473897e+01
9.175924610253812830e+01,-2.472497208573737382e+01,9.189336150072537635e+01,-2.433652981626358169e+01,9.175924610253812830e+01,-2.532749553714855395e+01
9.382304831280673341e+01,-2.504173213609573168e+01,9.388487547151636647e+01,-2.460496218714880712e+01,9.375180437303582437e+01,-2.559606868130025958e+01
9.581308431257411939e+01,-2.534718031318558928e+01,9.587669458736263550e+01,-2.487135274514031735e+01,9.574460704526265431e+01,-2.586259079990919574e+01
9.786880764378172159e+01,-2.566273223253761415e+01,9.786880764378172159e+01,-2.513584149285061997e+01,9.773762418772069793e+01,-2.612719960214104375e+01
9.974869091877575045e+01,-2.595128866164885295e+01,9.986120067068425499e+01,-2.539861048292576484e+01,9.973081843089637744e+01,-2.639007428536531918e+01
1.018538563048112451e+02,-2.627446753554309922e+01,1.018538563048112451e+02,-2.565989443289477023e+01,1.017241430403671245e+02,-2.665144597922367709e+01
1.038467529687206792e+02,-2.658041707004648302e+01,1.038467529687206792e+02,-2.591999431898014450e+01,1.037175393928327054e+02,-2.691161110575124127e+01
1.057658420227477762e+02,-2.687506155766859095e+01,1.058398637811336727e+02,-2.617929491434955125e+01,1.057109336251269411e+02,-2.717094859123078621e+01
1.077190704904368772e+02,-2.717495900944577514e+01,1.078331550799415481e+02,-2.643828758776831833e+01,1.077042321293338034e+02,-2.742994220143508599e+01
1.096973154200220364e+02,-2.747870389410227077e+01,1.098265843666081452e+02,-2.669760018361042597e+01,1.096973154200220364e+02,-2.768920975367745285e+01
1.117802445019037805e+02,-2.779859029557032812e+01,1.118200973778086365e+02,-2.695803646706389145e+01,1.116900296721979799e+02,-2.794954158150212464e+01
1.137392851852113438e+02,-2.809944430668812743e+01,1.138136237952032985e+02,-2.722062864418971628e+01,1.136821748729653763e+02,-2.821195158896729538e+01
1.158070707882441042e+02,-2.841702822833835640e+01,1.158070707882441042e+02,-2.748670780875629305e+01,1.156734879852416071e+02,-2.847774546431838161e+01
1.176636186608061081e+02,-2.870217102525750619e+01,1.178003129969511775e+02,-2.775799916891765662e+01,1.176636186608061081e+02,-2.874861244283733441e+01
1.196520936938568127e+02,-2.900758018815739803e+01,1.197931765566526394e+02,-2.803675144356694560e+01,1.196520936938568127e+02,-2.902674923438535259e+01
1.216537609408492955e+02,-2.931502774776719633e+01,1.217854128678726653e+02,-2.832591334745978884e+01,1.216382642929406614e+02,-2.931502774776719633e+01
1.236215550440066551e+02,-2.961727254333320403e+01,1.237763264421850380e+02,-2.862932223369920948e+01,1.236215550440066551e+02,-2.961727254333320403e+01
1.256035990866127179e+02,-2.993624220983129547e+01,1.257633105570191105e+02,-2.894907847152815705e+01,1.256035990866127179e+02,-2.993624220983129547e+01
1.275870241318170599e+02,-3.025884477235050696e+01,1.277478429375189535e+02,-2.927186082530140965e+01,1.275870241318170599e+02,-3.025884477235050696e+01
1.295704729363236538e+02,-3.058260338707982839e+01,1.297319856007162571e+02,-2.959573274751210192e+01,1.295704729363236538e+02,-3.058260338707982839e+01
1.315535182410258983e+02,-3.090800677541919583e+01,1.317159861977661137e+02,-2.992129295518930476e+01,1.315535182410258983e+02,-3.090800677541919939e+01
1.335360731425513734e+02,-3.123556152091728322e+01,1.336997612479123916e+02,-3.024904938000704036e+01,1.335360731425513734e+02,-3.123556152091728322e+01
1.355180203447922338e+02,-3.156582089932415158e+01,1.356832374807436565e+02,-3.057956368237310585e+01,1.355180203447922338e+02,-3.156582089932415158e+01
1.374991965916521792e+02,-3.189946089834427312e+01,1.376663401206651258e+02,-3.091352832422518304e+01,1.374991965916521792e+02,-3.189946089834427312e+01
1.395000298672100882e+02,-3.223737991304683703e+01,1.396489860718792215e+02,-3.125187116244910257e+01,1.394793614790416996e+02,-3.223737991304683703e+01
1.414581327313269128e+02,-3.256808221761037458e+01,1.416310815995202859e+02,-3.159593618821426730e+01,1.414581327313269128e+02,-3.258086699237800588e+01
1.436125368046523647e+02,-3.293193750680658383e+01,1.436125368046523647e+02,-3.194785366002269456e+01,1.434348320424792007e+02,-3.293193750680658383e+01
1.454316900306007199e+02,-3.329126822341179093e+01,1.455933801898870854e+02,-3.231145310556708949e+01,1.454080212380769410e+02,-3.329412398586416799e+01
1.473732074801515921e+02,-3.367476912165810887e+01,1.475749000222721463e+02,-3.269532023659419195e+01,1.473732074801515921e+02,-3.367476912165810887e+01
1.493203394994459074e+02,-3.409954250811023257e+01,1.495551795268648618e+02,-3.312750847500137752e+01,1.493203394994459074e+02,-3.409954250811023257e+01
1.511339857394266062e+02,-3.456385890357042001e+01,1.516268672945743958e+02,-3.369376248788127270e+01,1.511339857394266062e+02,-3.456385890357042001e+01
1.521844227714424846e+02,-3.559291931098866257e+01,1.531357830911782116e+02,-3.528483889610909330e+01,1.521844227714424846e+02,-3.559291931098866257e+01
1.522295431306544913e+02,-3.743228871689075987e+01,1.529476662854463314e+02,-3.749895726349735270e+01,1.519554864025004406e+02,-3.737414107914025152e+01
1.522783505090893641e+02,-3.942197089495391538e+01,1.526525739380049345e+02,-3.950272492357001397e+01,1.516647007427117160e+02,-3.934746208184310490e+01
1.523261940339623095e+02,-4.137235845217256980e+01,1.523261940339623095e+02,-4.137235845217256980e+01,1.513286894481927618e+02,-4.144296016156238949e+01
1.528430649338786793e+02,-4.291752465357861013e+01,1.528430649338786793e+02,-4.291752465357861013e+01,1.520074682498032530e+02,-4.346686806307954498e+01
1.537271321483240740e+02,-4.480387894556965023e+01,1.542840866833650466e+02,-4.423978943829342825e+01,1.535141443543512310e+02,-4.487790291565681855e+01
