x_central,y_central,x_border1,y_border1,x_border2,y_border2
5.998322106723719571e+01,-2.031866991196083916e+01,6.007394866720983373e+01,-1.972945322195177198e+01,5.992176223281498437e+01,-2.071780502631405341e+01
6.064441286530646380e+01,-2.041267013470119096e+01,6.073386026305008301e+01,-1.983106643352558152e+01,6.058185303960639345e+01,-2.081944581616209788e+01
6.130561849974789368e+01,-2.050665925304973669e+01,6.139371864634488674e+01,-1.993242649157426172e+01,6.124207068031434886e+01,-2.092086105916020244e+01
6.196681778351961611e+01,-2.060065526858886642e+01,6.205361309123702540e+01,-2.003354602997340095e+01,6.190232604306025621e+01,-2.102203590298877600e+01
6.262801725488167648e+01,-2.069461634350626156e+01,6.271354368874722951e+01,-2.013442394296461302e+01,6.256261919637825741e+01,-2.112296923661744685e+01
6.328921118124179657e+01,-2.078858082277809061e+01,6.337351052221713843e+01,-2.023505915367760366e+01,6.322295020511374020e+01,-2.122365997853752617e+01
6.395040389841314976e+01,-2.088252117791398632e+01,6.403351367433799624e+01,-2.033545058070873424e+01,6.388331913372818605e+01,-2.132410704276773217e+01
6.461159668362685693e+01,-2.097642980813621350e+01,6.469355322452950929e+01,-2.043559717184653834e+01,6.454372603877509107e+01,-2.142430937183645767e+01
6.527278825115215000e+01,-2.107031601443748059e+01,6.535362924680330821e+01,-2.053549787595357046e+01,6.520417097933818695e+01,-2.152426591057357896e+01
6.593397702451399311e+01,-2.116419113821140741e+01,6.601374181358704618e+01,-2.063515166049011285e+01,6.586465400819889737e+01,-2.162397562171099352e+01
6.659516330132008477e+01,-2.125805419122245610e+01,6.667389100440762206e+01,-2.073455750231802597e+01,6.652517516628752503e+01,-2.172343747455542484e+01
6.725634883559197874e+01,-2.135189449116433025e+01,6.733407688365988975e+01,-2.083371442072003532e+01,6.718573449425076660e+01,-2.182265048311456468e+01
6.791753389814607544e+01,-2.144571117804552429e+01,6.799429951936616590e+01,-2.093262142356333655e+01,6.784633203041599359e+01,-2.192161364912114507e+01
6.857872726473244995e+01,-2.153944640843138458e+01,6.865455897454754108e+01,-2.103127757077369253e+01,6.850696780044182788e+01,-2.202032602526219662e+01
6.923992034810714813e+01,-2.163315841270028272e+01,6.931485530571278275e+01,-2.112968191979877020e+01,6.916764183481437556e+01,-2.211878666348673761e+01
6.990111648023987811e+01,-2.172682575576636310e+01,6.997518857814198157e+01,-2.122783356669864929e+01,6.982835414225696979e+01,-2.221699464985868389e+01
7.056231608477773420e+01,-2.182044644112423271e+01,7.063555884260406970e+01,-2.132573164552943012e+01,7.048910473229503282e+01,-2.231494911078850407e+01
7.122351208469606831e+01,-2.191406926734308058e+01,7.129596614477468108e+01,-2.142337530597260908e+01,7.114989361283132041e+01,-2.241264918888454716e+01
7.188471141217263494e+01,-2.200764844343818538e+01,7.195641053333912396e+01,-2.152076373355830796e+01,7.181072077658888020e+01,-2.251009405998020796e+01
7.254591124668320390e+01,-2.210120411100695392e+01,7.261689205095362354e+01,-2.161789615410137699e+01,7.247158620858857603e+01,-2.260728294003223127e+01
7.320710849010389154e+01,-2.219475854340998566e+01,7.327741073344539302e+01,-2.171477183006683376e+01,7.313248988807909257e+01,-2.270421508188995929e+01
7.386830739787590971e+01,-2.228828393279264120e+01,7.393796661493293243e+01,-2.181139006337492248e+01,7.379343178293585481e+01,-2.280088977653282711e+01
7.452950500405000867e+01,-2.238180175990165566e+01,7.459855972577089744e+01,-2.190775020620092661e+01,7.445441184866014339e+01,-2.289730636404365427e+01
7.519069678795264622e+01,-2.247534445926515545e+01,7.525919008181837455e+01,-2.200385166002167026e+01,7.511543003909038418e+01,-2.299346423578798593e+01
7.585189021254485908e+01,-2.256886212308238981e+01,7.591985770522755672e+01,-2.209969386050324403e+01,7.577648629091497412e+01,-2.308936281402154123e+01
7.651307406234958819e+01,-2.266243359933676871e+01,7.658056261012259824e+01,-2.219527632548969009e+01,7.643758052390185753e+01,-2.318500160202856719e+01
7.717425575545098582e+01,-2.275600928646146670e+01,7.724130479924967574e+01,-2.229059861653019681e+01,7.709871265524280659e+01,-2.328038014821662216e+01
7.783542478555865785e+01,-2.284966381055962259e+01,7.790208427029280358e+01,-2.238566036574629692e+01,7.775988258605629255e+01,-2.337549807012025127e+01
7.849659252828438127e+01,-2.294331990817734734e+01,7.856290102060822278e+01,-2.248046126553156299e+01,7.842109019995382369e+01,-2.347035504323971722e+01
7.915774784842139411e+01,-2.303705703294077622e+01,7.922375503763775839e+01,-2.257500110151496031e+01,7.908233536318503809e+01,-2.356495083542960955e+01
7.981889368657643047e+01,-2.313085673033325662e+01,7.988464629072997525e+01,-2.266927972715372519e+01,7.974361793988872193e+01,-2.365928528484468885e+01
8.048003329689483110e+01,-2.322469814219644135e+01,8.054557475759759200e+01,-2.276329706992620672e+01,8.040493776516973412e+01,-2.375335829851807645e+01
8.114116849290726918e+01,-2.331857034503087789e+01,8.120654039979751815e+01,-2.285705317632268319e+01,8.106629465636169130e+01,-2.384716990249598112e+01
8.180227294094783019e+01,-2.341266157173493667e+01,8.186754317055849128e+01,-2.295054816660767827e+01,8.172768841842963639e+01,-2.394072019626059600e+01
8.246337174179853946e+01,-2.350679700832400698e+01,8.252858301465452939e+01,-2.304378228659720662e+01,8.238911882999973102e+01,-2.403400940256534568e+01
8.312444975585523821e+01,-2.360108636076675737e+01,8.318965986720380101e+01,-2.313675587998929828e+01,8.305058565253523284e+01,-2.412703784125806905e+01
8.378552140822827710e+01,-2.369542945904009201e+01,8.385077365015675355e+01,-2.322946942552020033e+01,8.371208862379597804e+01,-2.421980596602717384e+01
8.444658240947485695e+01,-2.378985898641974828e+01,8.451192427983988864e+01,-2.332192351464923874e+01,8.437362745712161427e+01,-2.431231434095268540e+01
8.510764342918771774e+01,-2.388430054296033589e+01,8.517311165888440883e+01,-2.341411889931155343e+01,8.503520183647569297e+01,-2.440456368872850845e+01
8.576867911226150909e+01,-2.397893830711930718e+01,8.583433567737812098e+01,-2.350605646445966812e+01,8.569681142332059665e+01,-2.449655486402723881e+01
8.642969150752655594e+01,-2.407376058943882668e+01,8.649559621173662549e+01,-2.359773726899262059e+01,8.635845584697173649e+01,-2.458828889326676759e+01
8.709070583211716610e+01,-2.416858769112276306e+01,8.715689312715609560e+01,-2.368916253006680250e+01,8.702013470701628250e+01,-2.467976695894891748e+01
8.775172715292735859e+01,-2.426338417752321419e+01,8.781822627178506480e+01,-2.378033366340763877e+01,8.768184756848576455e+01,-2.477099044014033069e+01
8.841272236276223850e+01,-2.435839223540889620e+01,8.847959548391665408e+01,-2.387125226690559288e+01,8.834359395994280817e+01,-2.486196089484661798e+01
8.907371338267411431e+01,-2.445345472828116229e+01,8.914100057951392841e+01,-2.396192017239640037e+01,8.900537337208757549e+01,-2.495268011335370417e+01
8.973465541017520763e+01,-2.454890143372097455e+01,8.980244136014204059e+01,-2.405233941427401589e+01,8.966718525921527316e+01,-2.504315008597779268e+01
9.039560169394613354e+01,-2.464434542899536495e+01,9.046391761275890531e+01,-2.414251229175549085e+01,9.032902902331500172e+01,-2.513337306322534559e+01
9.105655343410160185e+01,-2.473977874654722697e+01,9.112542909990143869e+01,-2.423244135640263508e+01,9.099090402759365759e+01,-2.522335154654127010e+01
9.171748157233506049e+01,-2.483541670185635653e+01,9.178697556467061247e+01,-2.432212944334207805e+01,9.165280958404058254e+01,-2.531308831718174446e+01
9.237839558467959478e+01,-2.493119141238678438e+01,9.244855673277521646e+01,-2.441157968409461532e+01,9.231474494879665826e+01,-2.540258644818277034e+01
9.303930171266038940e+01,-2.502705808646148355e+01,9.311017230603003725e+01,-2.450079554529295933e+01,9.297670931892672286e+01,-2.549184934356703280e+01
9.370018426052581617e+01,-2.512313457916479109e+01,9.377182195743270654e+01,-2.458978083611404486e+01,9.363870183604458930e+01,-2.558088074696139103e+01
