time,x,y,u1,u2
0.0100,0.0000,0.0000,0.1000,0.1500
0.0200,0.0000,0.0000,0.1000,0.1500
0.0300,0.0001,0.0000,0.1000,0.1500
0.0400,0.0001,0.0000,0.1000,0.1500
0.0500,0.0002,0.0000,0.1000,0.1500
0.0600,0.0002,0.0000,0.1000,0.1500
0.0700,0.0003,0.0000,0.1000,0.1500
0.0800,0.0004,0.0000,0.1000,0.1500
0.0900,0.0005,0.0000,0.1000,0.1500
0.1000,0.0006,0.0000,0.1000,0.1500
0.1100,0.0008,0.0000,0.1000,0.1500
0.1200,0.0009,0.0000,0.1000,0.1500
0.1300,0.0011,0.0000,0.1000,0.1500
0.1400,0.0012,0.0000,0.1000,0.1500
0.1500,0.0014,0.0000,0.1000,0.1500
0.1600,0.0016,0.0000,0.1000,0.1500
0.1700,0.0018,0.0000,0.1000,0.1500
0.1800,0.0020,0.0000,0.1000,0.1500
0.1900,0.0023,0.0000,0.1000,0.1500
0.2000,0.0025,0.0000,0.1000,0.1500
0.2100,0.0028,0.0000,0.1000,0.1500
0.2200,0.0030,0.0000,0.1000,0.1500
0.2300,0.0033,0.0000,0.1000,0.1500
0.2400,0.0036,0.0000,0.1000,0.1500
0.2500,0.0039,0.0000,0.1000,0.1500
0.2600,0.0042,0.0000,0.1000,0.1500
0.2700,0.0046,0.0000,0.1000,0.1500
0.2800,0.0049,0.0000,0.1000,0.1500
0.2900,0.0053,0.0000,0.1000,0.1500
0.3000,0.0056,0.0000,0.1000,0.1500
0.3100,0.0060,0.0000,0.1000,0.1500
0.3200,0.0064,0.0000,0.1000,0.1500
0.3300,0.0068,0.0000,0.1000,0.1500
0.3400,0.0072,0.0001,0.1000,0.1500
0.3500,0.0077,0.0001,0.1000,0.1500
0.3600,0.0081,0.0001,0.1000,0.1500
0.3700,0.0086,0.0001,0.1000,0.1500
0.3800,0.0090,0.0001,0.1000,0.1500
0.3900,0.0095,0.0001,0.1000,0.1500
0.4000,0.0100,0.0001,0.1000,0.1500
0.4100,0.0105,0.0001,0.1000,0.1500
0.4200,0.0110,0.0001,0.1000,0.1500
0.4300,0.0116,0.0001,0.1000,0.1500
0.4400,0.0121,0.0001,0.1000,0.1500
0.4500,0.0127,0.0002,0.1000,0.1500
0.4600,0.0132,0.0002,0.1000,0.1500
0.4700,0.0138,0.0002,0.1000,0.1500
0.4800,0.0144,0.0002,0.1000,0.1500
0.4900,0.0150,0.0002,0.1000,0.1500
0.5000,0.0156,0.0002,0.1000,0.1500
0.5100,0.0163,0.0003,0.1000,0.1500
0.5200,0.0169,0.0003,0.1000,0.1500
0.5300,0.0176,0.0003,0.0999,0.1501
0.5400,0.0182,0.0003,0.0999,0.1501
0.5500,0.0189,0.0004,0.0999,0.1501
0.5600,0.0196,0.0004,0.0999,0.1501
0.5700,0.0203,0.0004,0.0999,0.1501
0.5800,0.0210,0.0004,0.0999,0.1501
0.5900,0.0217,0.0005,0.0999,0.1501
0.6000,0.0225,0.0005,0.0999,0.1501
0.6100,0.0232,0.0005,0.0999,0.1501
0.6200,0.0240,0.0006,0.0999,0.1501
0.6300,0.0248,0.0006,0.0999,0.1501
0.6400,0.0256,0.0007,0.0999,0.1501
0.6500,0.0264,0.0007,0.0999,0.1501
0.6600,0.0272,0.0007,0.0999,0.1501
0.6700,0.0280,0.0008,0.0999,0.1501
0.6800,0.0289,0.0008,0.0999,0.1501
0.6900,0.0297,0.0009,0.0999,0.1501
0.7000,0.0306,0.0009,0.0999,0.1501
0.7100,0.0315,0.0010,0.0999,0.1501
0.7200,0.0324,0.0011,0.0999,0.1501
0.7300,0.0333,0.0011,0.0999,0.1501
0.7400,0.0342,0.0012,0.0999,0.1501
0.7500,0.0351,0.0012,0.0999,0.1501
0.7600,0.0361,0.0013,0.0999,0.1501
0.7700,0.0370,0.0014,0.0999,0.1501
0.7800,0.0380,0.0014,0.0999,0.1501
0.7900,0.0390,0.0015,0.0999,0.1501
0.8000,0.0400,0.0016,0.0999,0.1501
0.8100,0.0410,0.0017,0.0999,0.1501
0.8200,0.0420,0.0018,0.0999,0.1501
0.8300,0.0430,0.0019,0.0999,0.1501
0.8400,0.0440,0.0019,0.0999,0.1501
0.8500,0.0451,0.0020,0.0999,0.1501
0.8600,0.0462,0.0021,0.0999,0.1501
0.8700,0.0472,0.0022,0.0999,0.1501
0.8800,0.0483,0.0023,0.0999,0.1501
0.8900,0.0494,0.0025,0.0999,0.1501
0.9000,0.0505,0.0026,0.0999,0.1501
0.9100,0.0517,0.0027,0.0999,0.1501
0.9200,0.0528,0.0028,0.0999,0.1501
0.9300,0.0540,0.0029,0.0999,0.1501
0.9400,0.0551,0.0030,0.0999,0.1501
0.9500,0.0563,0.0032,0.0999,0.1501
0.9600,0.0575,0.0033,0.0999,0.1501
0.9700,0.0587,0.0035,0.0999,0.1501
0.9800,0.0599,0.0036,0.0999,0.1501
0.9900,0.0611,0.0038,0.0999,0.1501
1.0000,0.0623,0.0039,0.0999,0.1501
1.0100,0.0636,0.0041,0.0999,0.1501
1.0200,0.0648,0.0042,0.0999,0.1501
1.0300,0.0661,0.0044,0.0999,0.1501
1.0400,0.0674,0.0046,0.0999,0.1501
1.0500,0.0687,0.0047,0.0999,0.1501
1.0600,0.0700,0.0049,0.0999,0.1501
1.0700,0.0713,0.0051,0.0999,0.1501
1.0800,0.0726,0.0053,0.0999,0.1501
1.0900,0.0740,0.0055,0.0999,0.1501
1.1000,0.0753,0.0057,0.0999,0.1501
1.1100,0.0767,0.0059,0.0999,0.1501
