x_central,y_central,x_border1,y_border1,x_border2,y_border2
5.999785545001240905e+01,-2.022362912413291269e+01,6.007398447025790489e+01,-1.972945873623369906e+01,5.992172642976691321e+01,-2.071779951203212633e+01
6.039358749159967488e+01,-2.028459330439037700e+01,6.046966288185473104e+01,-1.979041465754539075e+01,6.031751210134461871e+01,-2.077877195123536325e+01
6.078933275606183173e+01,-2.034547159005114381e+01,6.086530073955812270e+01,-1.985127642062563424e+01,6.071336477256554076e+01,-2.083966675947665337e+01
6.118509126020564537e+01,-2.040626374746777216e+01,6.126095153808356031e+01,-1.991205203348247466e+01,6.110923098232773043e+01,-2.090047546145306967e+01
6.158086302242590904e+01,-2.046696953163361243e+01,6.165661529694891385e+01,-1.997274125147899326e+01,6.150511074790290422e+01,-2.096119781178823160e+01
6.197664805893979434e+01,-2.052758871070034985e+01,6.205229203031508689e+01,-2.003334384264952917e+01,6.190100408756450179e+01,-2.102183357875117053e+01
6.237244638832602561e+01,-2.058812103636739721e+01,6.244798176168336568e+01,-2.009385955964503978e+01,6.229691101496868555e+01,-2.108238251308975464e+01
6.276825802528139064e+01,-2.064856628467096655e+01,6.284368451422058399e+01,-2.015428817999071143e+01,6.269283153634219730e+01,-2.114284438935122168e+01
6.316408298599700544e+01,-2.070892422087567653e+01,6.323940029907139859e+01,-2.021462946837343466e+01,6.308876567292261228e+01,-2.120321897337791839e+01
6.355992128609739211e+01,-2.076919461293569569e+01,6.363512912747574291e+01,-2.027488319227538938e+01,6.348471344471904132e+01,-2.126350603359600200e+01
6.395577294252687750e+01,-2.082937721909286211e+01,6.403087103165508154e+01,-2.033504911245791291e+01,6.388067485339867346e+01,-2.132370532572781130e+01
6.435163796687947979e+01,-2.088947183176995992e+01,6.442662601759262486e+01,-2.039512702068133976e+01,6.427664991616633472e+01,-2.138381664285858008e+01
6.474751637715272068e+01,-2.094947820022134977e+01,6.482239410264521950e+01,-2.045511666629595382e+01,6.467263865166022185e+01,-2.144383973414674571e+01
6.514340818479541895e+01,-2.100939611584500710e+01,6.521817531296989046e+01,-2.051501784311799881e+01,6.506864105662094744e+01,-2.150377438857201540e+01
6.553931340392584559e+01,-2.106922535145104192e+01,6.561396965484766497e+01,-2.057483032295834136e+01,6.546465715300402621e+01,-2.156362037994374248e+01
6.593523204759686962e+01,-2.112896568588582014e+01,6.600977714895562087e+01,-2.063455388600295493e+01,6.586068694623811837e+01,-2.162337748576868535e+01
6.633116412778120718e+01,-2.118861690417041643e+01,6.640559780108206667e+01,-2.069418831652712143e+01,6.625673045448034770e+01,-2.168304549181371144e+01
6.672710965872286693e+01,-2.124817877524572651e+01,6.680143163951828456e+01,-2.075373338577319515e+01,6.665278767792744929e+01,-2.174262416471825787e+01
6.712306864871428047e+01,-2.130765110663185169e+01,6.719727867226559681e+01,-2.081318890139821320e+01,6.704885862516296413e+01,-2.180211331186549018e+01
6.751904111177225332e+01,-2.136703366680220029e+01,6.759313891064407187e+01,-2.087255463165272928e+01,6.744494331290043476e+01,-2.186151270195167129e+01
6.791502705655361183e+01,-2.142632625895896936e+01,6.798901237956688703e+01,-2.093183038235470406e+01,6.784104173354033662e+01,-2.192082213556323467e+01
6.831102649288122564e+01,-2.148552867761101481e+01,6.838489908299091269e+01,-2.099101594730927189e+01,6.823715390277153858e+01,-2.198004140791275773e+01
6.870703943054081719e+01,-2.154464071656586910e+01,6.878079903270312911e+01,-2.105011112079949243e+01,6.863327982837850527e+01,-2.203917031233224577e+01
6.910306587859302851e+01,-2.160366217353747942e+01,6.917671225106600730e+01,-2.110911570269619375e+01,6.902941950612004973e+01,-2.209820864437876509e+01
6.949910584337078490e+01,-2.166259286363787950e+01,6.957263874561031969e+01,-2.116802950845653086e+01,6.942557294113125010e+01,-2.215715621881922814e+01
6.989515933337945341e+01,-2.172143258649908049e+01,6.996857852161323876e+01,-2.122685233739981570e+01,6.982174014514566807e+01,-2.221601283559834528e+01
7.029122635545496678e+01,-2.178018115206320360e+01,7.036453159987141248e+01,-2.128558400170642528e+01,7.021792111103852108e+01,-2.227477830241998191e+01
7.068730691451756343e+01,-2.183883838232168273e+01,7.076049798451425943e+01,-2.134422432341035503e+01,7.061411584452086743e+01,-2.233345244123301043e+01
7.108340101733224969e+01,-2.189740408594964549e+01,7.115647769086561425e+01,-2.140277311261164428e+01,7.101032434379888514e+01,-2.239203505928764670e+01
7.147950866654139190e+01,-2.195587809864703033e+01,7.155247073021111248e+01,-2.146123020643980084e+01,7.140654660287167133e+01,-2.245052599085425982e+01
7.187562986661653497e+01,-2.201426024293141381e+01,7.194847710790635631e+01,-2.151959542769137457e+01,7.180278262532671363e+01,-2.250892505817145306e+01
7.227176461975699340e+01,-2.207255035591924752e+01,7.234449683280868726e+01,-2.157786861461014638e+01,7.219903240670529954e+01,-2.256723209722834866e+01
7.266791292862639295e+01,-2.213074827079121221e+01,7.274052991146338343e+01,-2.163604960109050168e+01,7.259529594578940248e+01,-2.262544694049192273e+01
7.306407479428187912e+01,-2.218885383088079877e+01,7.313657635775361143e+01,-2.169413823248698137e+01,7.299157323081014681e+01,-2.268356942927461617e+01
7.346025021615027129e+01,-2.224686688991085148e+01,7.353263617464951096e+01,-2.175213436317327620e+01,7.338786425765103161e+01,-2.274159941664842677e+01
7.385643919424516923e+01,-2.230478729688967121e+01,7.392870937045992719e+01,-2.181003784349948660e+01,7.378416901803041128e+01,-2.279953675027985582e+01
7.425264172584715539e+01,-2.236261491882622465e+01,7.432479594889738905e+01,-2.186784854153688684e+01,7.418048750279692172e+01,-2.285738129611556246e+01
7.464885780926556436e+01,-2.242034961502978163e+01,7.472089591113859797e+01,-2.192556631713207338e+01,7.457681970739253074e+01,-2.291513291292748988e+01
7.504508744092167660e+01,-2.247799125710186274e+01,7.511700926839198189e+01,-2.198319104415391578e+01,7.497316561345137131e+01,-2.297279147004980970e+01
7.544133061549260333e+01,-2.253553972803477023e+01,7.551313603047205447e+01,-2.204072260789882876e+01,7.536952520051315219e+01,-2.303035684817071171e+01
7.583758732571119765e+01,-2.259299492367437168e+01,7.590927618594197668e+01,-2.209816090370523867e+01,7.576589846548041862e+01,-2.308782894364350469e+01
7.623385756706387895e+01,-2.265035672033425129e+01,7.630542974237322085e+01,-2.215550580973441441e+01,7.616228539175453705e+01,-2.314520763093408817e+01
7.663014132932958944e+01,-2.270762503321653369e+01,7.670159670913315608e+01,-2.221275724410804031e+01,7.655868594952602280e+01,-2.320249282232502708e+01
7.702643860331406245e+01,-2.276479977000694177e+01,7.709777707946631153e+01,-2.226991511494045639e+01,7.695510012716181336e+01,-2.325968442507342715e+01
7.742274937811313862e+01,-2.282188084981409659e+01,7.749397084859717211e+01,-2.232697934229760861e+01,7.735152790762910513e+01,-2.331678235733058457e+01
7.781907364299654262e+01,-2.287886819013896300e+01,7.789017802404679003e+01,-2.238394984637358931e+01,7.774796926194629521e+01,-2.337378653390433669e+01
7.821541138274986338e+01,-2.293576173932192930e+01,7.828639860541269968e+01,-2.244082657769101630e+01,7.814442416008702708e+01,-2.343069690095284230e+01
7.861176258314442578e+01,-2.299256143858633195e+01,7.868263258238056324e+01,-2.249760947808080047e+01,7.854089258390828832e+01,-2.348751339909186342e+01
7.900812722799543053e+01,-2.304926724254216452e+01,7.907887995739179132e+01,-2.255429850485970533e+01,7.893737449859906974e+01,-2.354423598022462372e+01
7.940450529873909602e+01,-2.310587912224453788e+01,7.947514072042045541e+01,-2.261089363033200073e+01,7.933386987705773663e+01,-2.360086461415707504e+01
7.980089677718763141e+01,-2.316239704597735027e+01,7.987141486963625425e+01,-2.266739482513646564e+01,7.973037868473900858e+01,-2.365739926681823491e+01
8.019730164100901959e+01,-2.321882101099435047e+01,8.026770239952443831e+01,-2.272380208893131126e+01,8.012690088249360088e+01,-2.371383993305738969e+01
8.059371986816128697e+01,-2.327515101251356455e+01,8.066400329847822093e+01,-2.278011541841664922e+01,8.052343643784435301e+01,-2.377018660661047988e+01
8.099015143394122163e+01,-2.333138706450208133e+01,8.106031756255570997e+01,-2.283633483049514723e+01,8.091998530532673328e+01,-2.382643929850901543e+01
8.138659631160487606e+01,-2.338752919542926634e+01,8.145664517632970103e+01,-2.289246035521534139e+01,8.131654744688005110e+01,-2.388259803564319128e+01
8.178305447391869620e+01,-2.344357743738697053e+01,8.185298612991400091e+01,-2.294849202708915925e+01,8.171312281792339149e+01,-2.393866284768478181e+01
8.217952589026438659e+01,-2.349953184662831163e+01,8.224934041627689396e+01,-2.300442990565287005e+01,8.210971136425187922e+01,-2.399463378760375321e+01
8.257601052814924003e+01,-2.355539249302134408e+01,8.264570801321092119e+01,-2.306027406216254860e+01,8.250631304308755887e+01,-2.405051092388013956e+01
8.297250835473060704e+01,-2.361115944929187194e+01,8.304208891398343440e+01,-2.311602457294597812e+01,8.290292779547777968e+01,-2.410629432563776575e+01
8.336901933175074930e+01,-2.366683282712630643e+01,8.343848310156289472e+01,-2.317168155258136153e+01,8.329955556193860389e+01,-2.416198410167125132e+01
8.376554342173146495e+01,-2.372241273324582522e+01,8.383489054991501632e+01,-2.322724510929137764e+01,8.369619629354791357e+01,-2.421758035720027280e+01
8.416208058401301173e+01,-2.377789929766577615e+01,8.423131124854609197e+01,-2.328271537719954409e+01,8.409284991947993149e+01,-2.427308321813200820e+01
8.455863077453703625e+01,-2.383329267542128349e+01,8.462774517566155907e+01,-2.333809251431751264e+01,8.448951637341251342e+01,-2.432849283652505434e+01
8.495519394787562817e+01,-2.388859303218523777e+01,8.502419230733354993e+01,-2.339337668916724411e+01,8.488619558841770640e+01,-2.438380937520323144e+01
8.535177005540904815e+01,-2.394380055742754010e+01,8.542065262050360275e+01,-2.344856809461235514e+01,8.528288749031449356e+01,-2.443903302024272506e+01
8.574835904627312289e+01,-2.399891545775991375e+01,8.581712609247048817e+01,-2.350366694099556142e+01,8.567959200007575760e+01,-2.449416397452426608e+01
8.614496086587419654e+01,-2.405393796775830850e+01,8.621361268928369270e+01,-2.355867346555514175e+01,8.607630904246470038e+01,-2.454920246996147526e+01
8.654157545908111615e+01,-2.410886832709611483e+01,8.661011238713892624e+01,-2.361358791208619579e+01,8.647303853102330606e+01,-2.460414874210603386e+01
8.693820276470262343e+01,-2.416370682052297170e+01,8.700662516122072532e+01,-2.366841057012860361e+01,8.686978036818452154e+01,-2.465900307091733978e+01
8.733484271993278014e+01,-2.421845374597139866e+01,8.740315096736318878e+01,-2.372314173992572961e+01,8.726653447250237150e+01,-2.471376575201706771e+01
8.773149525987973618e+01,-2.427310941804500999e+01,8.779968977903797622e+01,-2.377778174109088027e+01,8.766330074072149614e+01,-2.476843709499913970e+01
