x_central,y_central,x_border1,y_border1,x_border2,y_border2,is_curve
5.999785544308807772e+01,-2.022362912179891126e+01,6.007395200232509325e+01,-1.972945373423667448e+01,5.992175888385106219e+01,-2.071780450936114804e+01,0.000000000000000000e+00
6.063323857356589031e+01,-2.032146983026704845e+01,6.070924937971089719e+01,-1.982728124546445869e+01,6.055722776742088342e+01,-2.081565841506963821e+01,0.000000000000000000e+00
6.126499345502676164e+01,-2.041852674741467411e+01,6.134083237330850125e+01,-1.992431175525655007e+01,6.118915453674502203e+01,-2.091274173957279814e+01,0.000000000000000000e+00
6.189313280627376201e+01,-2.051480474983459601e+01,6.196880007938055002e+01,-2.002056344866624826e+01,6.181746553316697401e+01,-2.100904605100294376e+01,0.000000000000000000e+00
6.251766934610994753e+01,-2.061030871411962906e+01,6.259316523213423977e+01,-2.011604120437070264e+01,6.244217346008565528e+01,-2.110457622386855547e+01,0.000000000000000000e+00
6.313861579333836715e+01,-2.070504351686257749e+01,6.321394056610480305e+01,-2.021074990107567970e+01,6.306329102057193126e+01,-2.119933713264947528e+01,0.000000000000000000e+00
6.375598486676209120e+01,-2.079901403465625620e+01,6.383113881616181118e+01,-2.030469441751606396e+01,6.368083091736237122e+01,-2.129333365179644844e+01,0.000000000000000000e+00
6.436978928518418286e+01,-2.089222514409347298e+01,6.444477271751551939e+01,-2.039787963245630564e+01,6.429480585285284633e+01,-2.138657065573064031e+01,0.000000000000000000e+00
6.498004176740769822e+01,-2.098468172176703916e+01,6.505485500572341095e+01,-2.049031042469092867e+01,6.490522852909198548e+01,-2.147905301884314966e+01,0.000000000000000000e+00
6.558675503223568626e+01,-2.107638864426976610e+01,6.566139841669678390e+01,-2.058199167304502808e+01,6.551211164777458862e+01,-2.157078561549450413e+01,0.000000000000000000e+00
6.618994179847123860e+01,-2.116735078819446159e+01,6.626441568670753668e+01,-2.067292825637479581e+01,6.611546791023494052e+01,-2.166177332001412736e+01,0.000000000000000000e+00
6.678961478491737580e+01,-2.125757303013394406e+01,6.686391955239496099e+01,-2.076312505356805715e+01,6.671531001743979061e+01,-2.175202100669983096e+01,0.000000000000000000e+00
6.738578671037718948e+01,-2.134706024668101776e+01,6.745992275077284717e+01,-2.085258694354478948e+01,6.731165066998153179e+01,-2.184153354981724604e+01,0.000000000000000000e+00
6.797847029365371441e+01,-2.143581731442848692e+01,6.805243801923647595e+01,-2.094131880525771550e+01,6.790450256807095286e+01,-2.193031582359925835e+01,0.000000000000000000e+00
6.856767825355004220e+01,-2.152384910996917355e+01,6.864147809556996549e+01,-2.102932551769289660e+01,6.849387841153011891e+01,-2.201837270224545051e+01,0.000000000000000000e+00
6.915342330886919342e+01,-2.161116050989588544e+01,6.922705571795357571e+01,-2.111661195987027639e+01,6.907979089978481113e+01,-2.210570905992149449e+01,0.000000000000000000e+00
6.973571817841427389e+01,-2.169775639080142682e+01,6.980918362497126850e+01,-2.120318301084433443e+01,6.966225273185727929e+01,-2.219232977075851920e+01,0.000000000000000000e+00
7.031457558098830418e+01,-2.178364162927861614e+01,7.038787455561829631e+01,-2.128904354970471502e+01,7.024127660635831205e+01,-2.227823970885251725e+01,0.000000000000000000e+00
7.089000823539436169e+01,-2.186882110192025763e+01,7.096314124930903233e+01,-2.137419845557684894e+01,7.081687522147969105e+01,-2.236344374826366632e+01,0.000000000000000000e+00
7.146202886043549540e+01,-2.195329968531916265e+01,7.153499644588487172e+01,-2.145865260762266047e+01,7.138906127498611909e+01,-2.244794676301566483e+01,0.000000000000000000e+00
7.203065017491479693e+01,-2.203708225606814608e+01,7.210345288562227495e+01,-2.154241088504123525e+01,7.195784746420731892e+01,-2.253175362709505691e+01,0.000000000000000000e+00
