x_central,y_central,x_border1,y_border1,x_border2,y_border2,is_curve
6.017649458693717861e+02,1.912810075651737804e+02,6.025557319879859506e+02,1.861207833560819722e+02,5.976058791637738068e+02,2.184207311848346933e+02,1
6.064357197300838607e+02,2.032493310998169136e+02,6.089079150307325108e+02,1.870989388886095526e+02,6.039635244294352105e+02,2.193997233110243030e+02,0
6.127543452106888253e+02,2.042200656801970240e+02,6.152237957428693562e+02,1.880692535566692811e+02,6.102848946785084081e+02,2.203708778037247669e+02,0
6.190368092274015908e+02,2.051830097858376689e+02,6.215035070670888899e+02,1.890317770171583618e+02,6.165701113877142916e+02,2.213342425545169760e+02,0
6.252832389899286909e+02,2.061382121909778675e+02,6.277471797086891456e+02,1.899865585816779401e+02,6.228192982711682362e+02,2.222898658002777950e+02,0
6.314937617079764323e+02,2.070857216698566390e+02,6.339549431536399879e+02,1.909336473735967559e+02,6.290325802623127629e+02,2.232377959661165221e+02,0
6.376685045912515761e+02,2.080255869967129172e+02,6.401243633280110998e+02,1.918727025470098511e+02,6.352126458544921661e+02,2.241784714464160118e+02,0
6.438075948494605427e+02,2.089578569457858634e+02,6.462578843265430351e+02,1.928041267369803222e+02,6.413573053723781641e+02,2.251115871545914047e+02,0
6.499111596923102070e+02,2.098825802913143548e+02,6.523558905237108547e+02,1.937280078939286057e+02,6.474664288609096729e+02,2.260371526887000755e+02,0
6.559793263295068755e+02,2.107998058075375525e+02,6.584185096893672835e+02,1.946443948651517815e+02,6.535401429696464675e+02,2.269552167499233235e+02,0
6.620122219707574232e+02,2.117095822686943336e+02,6.644458696051686957e+02,1.955533364989648533e+02,6.595785743363462643e+02,2.278658280384238424e+02,0
6.680099738257682702e+02,2.126119584490239163e+02,6.704380980647979413e+02,1.964548816447188244e+02,6.655818495867385991e+02,2.287690352533290365e+02,0
6.739727091042456095e+02,2.135069831227651491e+02,6.763953228741938801e+02,1.973490791528179500e+02,6.715500953342973389e+02,2.296648870927123198e+02,0
6.799005550158964297e+02,2.143947050641569660e+02,6.823176718517850077e+02,1.982359778747388077e+02,6.774834381800079655e+02,2.305534322535751528e+02,0
6.857936387704272647e+02,2.152751730474385852e+02,6.882052728287252421e+02,1.991156266630491416e+02,6.833820047121291736e+02,2.314347194318280287e+02,0
6.916520875775445347e+02,2.161484358468489404e+02,6.940582536491363044e+02,1.999880743714270750e+02,6.892459215059528788e+02,2.323087973222707490e+02,0
6.974760286469547736e+02,2.170145422366270509e+02,6.998767421703523723e+02,2.008533698546816879e+02,6.950753151235572886e+02,2.331757146185724139e+02,0
7.032655891883651975e+02,2.178735409910120779e+02,7.056608662631718971e+02,2.017115619687733954e+02,7.008703121135586116e+02,2.340355200132507605e+02,0
7.090208964114815444e+02,2.187254808842427849e+02,7.114107538121093057e+02,2.025626995708350364e+02,7.066310390108537831e+02,2.348882621976505050e+02,0
7.147420775260105756e+02,2.195704106905582478e+02,7.171265327156567082e+02,2.034068315191943839e+02,7.123576223363644431e+02,2.357339898619221117e+02,0
7.204292597416591661e+02,2.204083791841976563e+02,7.228083308865466279e+02,2.042440066733965693e+02,7.180501885967717044e+02,2.365727516949987148e+02,0
7.260825702681333951e+02,2.212394351393998875e+02,7.284562762520197339e+02,2.050742738942269909e+02,7.237088642842470563e+02,2.374045963845727840e+02,0
7.317021363151405922e+02,2.220636273304039321e+02,7.340704967540991674e+02,2.058976820437356139e+02,7.293337758761819032e+02,2.382295726170722503e+02,0
7.372880850923866092e+02,2.228810045314489514e+02,7.396511203498666873e+02,2.067142799852620101e+02,7.349250498349065310e+02,2.390477290776358927e+02,0
7.428405438095784348e+02,2.236916155167739078e+02,7.451982750117470005e+02,2.075241165834602270e+02,7.404828126074099828e+02,2.398591144500875885e+02,0
7.483596396764220344e+02,2.244955090606176213e+02,7.507120887277936845e+02,2.083272407043254759e+02,7.460071906250503844e+02,2.406637774169097952e+02,0
7.538454999026250789e+02,2.252927339372194524e+02,7.561926895019850008e+02,2.091237012152217005e+02,7.514983103032652707e+02,2.414617666592172327e+02,0
7.592982516978933063e+02,2.260833389208181927e+02,7.616402053545170929e+02,2.099135469849086917e+02,7.569562980412695197e+02,2.422531308567276938e+02,0
7.647180222719333642e+02,2.268673727856529467e+02,7.670547643221106000e+02,2.106968268835718732e+02,7.623812802217561284e+02,2.430379186877339919e+02,0
7.701049388344520139e+02,2.276448843059626199e+02,7.724364944583172701e+02,2.114735897828516329e+02,7.677733832105867577e+02,2.438161788290736354e+02,0
7.754591285951555619e+02,2.284159222559863451e+02,7.777855238338331674e+02,2.122438845558746152e+02,7.731327333564780702e+02,2.445879599560981035e+02,0
7.807807187637512243e+02,2.291805354099631984e+02,7.831019805368185871e+02,2.130077600772853259e+02,7.784594569906838615e+02,2.453533107426410709e+02,0
7.860698365499446254e+02,2.299387725421319999e+02,7.883859926732194481e+02,2.137652652232789308e+02,7.837536804266696890e+02,2.461122798609850975e+02,0
7.913266091634429813e+02,2.306906824267319109e+02,7.936376883671011910e+02,2.145164488716358164e+02,7.890155299597847716e+02,2.468649159818279770e+02,0
7.965511638139525985e+02,2.314363138380018370e+02,7.988571957609796073e+02,2.152613599017562080e+02,7.942451318669254761e+02,2.476112677742474943e+02,0
8.017436277111803520e+02,2.321757155501809677e+02,8.040446430161649687e+02,2.160000471946970322e+02,7.994426124061956216e+02,2.483513839056649317e+02,0
8.069041280648325483e+02,2.329089363375082655e+02,8.092001583131061579e+02,2.167325596332091777e+02,8.046080978165589386e+02,2.490853130418073249e+02,0
8.120327920846156076e+02,2.336360249742226074e+02,8.143238698517440071e+02,2.174589461017763199e+02,8.097417143174873218e+02,2.498131038466688949e+02,0
8.171297469802367459e+02,2.343570302345631546e+02,8.194159058518699794e+02,2.181792554866557623e+02,8.148435881086035124e+02,2.505348049824705186e+02,0
8.221951199614019288e+02,2.350720008927688980e+02,8.244763945534882623e+02,2.188935366759193926e+02,8.199138453693155952e+02,2.512504651096183750e+02,0
8.272290382378179174e+02,2.357809857230788566e+02,8.295054642171872956e+02,2.196018385594972813e+02,8.249526122584485393e+02,2.519601328866604035e+02,0
8.322316290191910184e+02,2.364840334997319644e+02,8.345032431245143698e+02,2.203042100292217640e+02,8.299600149138675533e+02,2.526638569702421648e+02,0
8.372030195152279930e+02,2.371811929969673542e+02,8.394698595783593191e+02,2.210006999788741666e+02,8.349361794520968942e+02,2.533616860150605135e+02,0
8.421433369356360572e+02,2.378725129890240737e+02,8.444054419033408294e+02,2.216913573042324970e+02,8.398812319679312850e+02,2.540536686738156504e+02,0
8.470527084901208354e+02,2.385580422501408862e+02,8.493101184462004767e+02,2.223762309031201312e+02,8.447952985340413079e+02,2.547398535971616695e+02,0
8.519312613883893164e+02,2.392378295545571802e+02,8.541840175762050649e+02,2.230553696754585928e+02,8.496785052005736816e+02,2.554202894336557677e+02,0
8.567791228401479202e+02,2.399119236765116909e+02,8.590272676855514646e+02,2.237288225233191099e+02,8.545309779947442621e+02,2.560950248297042435e+02,0
8.615964200551032945e+02,2.405803733902435226e+02,8.638399971897811156e+02,2.243966383509786624e+02,8.593528429204255872e+02,2.567641084295083260e+02,0
8.663832802429620870e+02,2.412432274699917230e+02,8.686223345281980528e+02,2.250588660649765984e+02,8.641442259577261211e+02,2.574275888750068475e+02,0
8.711398306134310587e+02,2.419005346899953111e+02,8.733744081642960282e+02,2.257155545741734670e+02,8.689052530625660893e+02,2.580855148058171267e+02,0
8.758661983762161753e+02,2.425523438244932777e+02,8.780963465861893837e+02,2.263667527898127219e+02,8.736360501662430806e+02,2.587379348591738335e+02,0
8.805625107410244254e+02,2.431987036477245567e+02,8.827882783070533605e+02,2.270125096255836468e+02,8.783367431749953766e+02,2.593848976698654951e+02,0
8.852288949175626840e+02,2.438396629339283663e+02,8.874503318655695239e+02,2.276528739976875499e+02,8.830074579695557304e+02,2.600264518701691827e+02,0
8.898654781155364617e+02,2.444752704573435267e+02,8.920826358263749398e+02,2.282878948249055213e+02,8.876483204046979836e+02,2.606626460897815605e+02,0
8.944723875446537704e+02,2.451055749922092843e+02,8.966853187805253356e+02,2.289176210286695436e+02,8.922594563087822053e+02,2.612935289557490250e+02,0
8.990497504146197798e+02,2.457306253127644027e+02,9.012585093459553036e+02,2.295421015331351100e+02,8.968409914832842560e+02,2.619191490923936954e+02,0
9.035976939351421606e+02,2.463504701932480145e+02,9.058023361679544223e+02,2.301613852652578771e+02,9.013930517023297853e+02,2.625395551212381520e+02,0
9.081163453159267647e+02,2.469651584078991959e+02,9.103169279196426942e+02,2.307755211548721661e+02,9.059157627122108352e+02,2.631547956609261973e+02,0
9.126058317666804669e+02,2.475747387309568524e+02,9.148024133024573530e+02,2.313845581347725897e+02,9.104092502309035808e+02,2.637649193271411150e+02,0
9.170662804971099149e+02,2.481792599366600598e+02,9.192589210466441045e+02,2.319885451407989194e+02,9.148736399475757253e+02,2.643699747325212002e+02,0
9.214978187169216426e+02,2.487787707992478943e+02,9.236865799117554161e+02,2.325875311119241928e+02,9.193090575220879828e+02,2.649700104865715957e+02,0
9.259005736358220702e+02,2.493733200929593181e+02,9.280855186871565365e+02,2.331815649903452936e+02,9.237156285844877175e+02,2.655650751955733426e+02,0
9.302746724635177316e+02,2.499629565920332368e+02,9.324558661925362912e+02,2.337706957215782495e+02,9.280934787344991719e+02,2.661552174624882241e+02,0
9.346202424097151606e+02,2.505477290707087832e+02,9.367977512784264036e+02,2.343549722545560314e+02,9.324427335410038040e+02,2.667404858868615065e+02,0
9.389374106841218008e+02,2.511276863032251470e+02,9.411113028267278651e+02,2.349344435417306727e+02,9.367635185415158503e+02,2.673209290647196212e+02,0
9.432263044964427081e+02,2.517028770638209210e+02,9.453966497512374190e+02,2.355091585391778892e+02,9.410559592416478836e+02,2.678965955884639811e+02,0
9.474870510563857806e+02,2.522733501267356075e+02,9.496539209981941667e+02,2.360791662067084928e+02,9.453201811145773945e+02,2.684675340467626938e+02,0
9.517197775736567564e+02,2.528391542662078564e+02,9.538832455468162834e+02,2.366445155079801452e+02,9.495563096004971158e+02,2.690337930244355675e+02,0
9.559246112579625105e+02,2.534003382564768287e+02,9.580847524098577424e+02,2.372052554106168714e+02,9.537644701060672787e+02,2.695954211023367293e+02,0
9.601016793190095768e+02,2.539569508717815722e+02,9.622585706341631067e+02,2.377614348863307328e+02,9.579447880038560470e+02,2.701524668572324117e+02,0
9.642511089665049440e+02,2.545090408863610776e+02,9.664048293012327804e+02,2.383131029110489578e+02,9.620973886317772212e+02,2.707049788616731689e+02,0
9.683730274101543500e+02,2.550566570744542787e+02,9.705236575277915563e+02,2.388603084650457333e+02,9.662223972925171438e+02,2.712530056838627956e+02,0
9.724675618596648974e+02,2.555998482103002232e+02,9.746151844663671682e+02,2.394031005330793391e+02,9.703199392529626266e+02,2.717965958875211072e+02,0
9.765348395247431199e+02,2.561386630681381007e+02,9.786795393058706622e+02,2.399415281045339157e+02,9.743901397436154639e+02,2.723357980317422289e+02,0
9.805749876150954378e+02,2.566731504222066746e+02,9.827168512721852949e+02,2.404756401735661484e+02,9.784331239580056945e+02,2.728706606708472009e+02,0
9.845881333404291809e+02,2.572033590467453337e+02,9.867272496287603190e+02,2.410054857392590861e+02,9.824490170520980428e+02,2.734012323542315244e+02,0
9.885744039104494050e+02,2.577293377159925853e+02,9.907108636772089767e+02,2.415311138057796256e+02,9.864379441436899469e+02,2.739275616262056019e+02,0
9.925339265348638946e+02,2.582511352041877899e+02,9.946678227579168379e+02,2.420525733825439545e+02,9.904000303118109514e+02,2.744496970258315969e+02,0
9.964668284233790700e+02,2.587688002855699665e+02,9.985982562506492286e+02,2.425699134843877118e+02,9.943354005961089115e+02,2.749676870867521643e+02,0
1.000373236785700556e+03,2.592823817343779069e+02,1.002502293575165481e+03,2.430831831317429135e+02,9.982441799962356299e+02,2.754815803370129288e+02,0
1.004253278831536704e+03,2.597919283248509146e+02,1.006380064191843985e+03,2.435924313508223520e+02,1.002126493471229423e+03,2.759914252988795056e+02,0
1.008107081770592117e+03,2.602974888312278381e+02,1.010231697602299391e+03,2.440977071738092548e+02,1.005982465938884957e+03,2.764972704886464498e+02,0
1.011934772812574693e+03,2.607991120277476966e+02,1.014057323350019828e+03,2.445990596390555538e+02,1.009812222275129557e+03,2.769991644164397826e+02,0
1.015736479167190510e+03,2.612968466886495662e+02,1.017857071020993544e+03,2.450965377912870622e+02,1.013615887313387475e+03,2.774971555860120702e+02,0
1.019512328044146443e+03,2.617907415881724660e+02,1.021631070244349530e+03,2.455901906818157556e+02,1.017393585843943470e+03,2.779912924945292048e+02,0
1.023262446653148686e+03,2.622808455005553583e+02,1.025379450692996897e+03,2.460800673687603819e+02,1.021145442613300588e+03,2.784816236323502494e+02,0
1.026986962203904113e+03,2.627672072000372623e+02,1.029102342084268457e+03,2.465662169172758809e+02,1.024871582323539542e+03,2.789681974827985869e+02,0
1.030686001906119145e+03,2.632498754608571971e+02,1.032799874180568168e+03,2.470486883997898815e+02,1.028572129631669895e+03,2.794510625219244844e+02,0
1.034359692969500202e+03,2.637288990572542957e+02,1.036472176790019148e+03,2.475275308962494023e+02,1.032247209148981256e+03,2.799302672182592460e+02,0
1.038008162603754045e+03,2.642043267634674635e+02,1.040119379767115333e+03,2.480027934943751404e+02,1.035896945440392756e+03,2.804058600325598150e+02,0
1.041631538018586980e+03,2.646762073537357196e+02,1.043741613013374263e+03,2.484745252899267030e+02,1.039521463023799697e+03,2.808778894175447363e+02,0
1.045229946423706224e+03,2.651445896022981401e+02,1.047339006477991006e+03,2.489427753869765354e+02,1.043120886369421441e+03,2.813464038176197732e+02,0
1.048803515028817856e+03,2.656095222833937441e+02,1.050911690158492320e+03,2.494075928981939683e+02,1.046695339899143391e+03,2.818114516685934632e+02,0
1.052352371043628409e+03,2.660710541712614372e+02,1.054459794101391253e+03,2.498690269451398080e+02,1.050244947985865565e+03,2.822730813973831232e+02,0
1.055876641677844646e+03,2.665292340401404090e+02,1.057983448402842214e+03,2.503271266585717569e+02,1.053769834952847077e+03,2.827313414217090326e+02,0
1.059376454141173099e+03,2.669841106642695081e+02,1.061482783209294666e+03,2.507819411787603201e+02,1.057270125073051531e+03,2.831862801497786677e+02,0
1.062851935643320303e+03,2.674357328178879243e+02,1.064957928718143421e+03,2.512335196558172754e+02,1.060745942568497185e+03,2.836379459799585447e+02,0
1.066303213393992564e+03,2.678841492752344493e+02,1.068409015178379150e+03,2.516819112500339486e+02,1.064197411609606206e+03,2.840863873004348648e+02,0
1.069730414602897099e+03,2.683294088105483297e+02,1.071836172891235947e+03,2.521271651322341825e+02,1.067624656314558251e+03,2.845316524888624485e+02,0
1.073133666479739986e+03,2.687715601980684710e+02,1.075239532210832522e+03,2.525693304841374811e+02,1.071027800748647451e+03,2.849737899119994609e+02,0
1.076513096234227760e+03,2.692106522120338354e+02,1.078619223544811803e+03,2.530084564987365354e+02,1.074406968923643717e+03,2.854128479253311639e+02,0
1.079868831076067409e+03,2.696467336266836128e+02,1.081975377354974398e+03,2.534445923806877090e+02,1.077762284797160419e+03,2.858488748726794597e+02,0
1.083200998214964784e+03,2.700798532162566516e+02,1.085308124157904558e+03,2.538777873467149675e+02,1.081093872272025237e+03,2.862819190857983926e+02,0
1.086509724860627330e+03,2.705100597549921417e+02,1.088617594525592267e+03,2.543080906260282461e+02,1.084401855195662392e+03,2.867120288839560089e+02,0
1.089795138222761125e+03,2.709374020171289317e+02,1.091903919086043743e+03,2.547355514607563407e+02,1.087686357359478507e+03,2.871392525735014942e+02,0
1.093057365511072703e+03,2.713619287769060406e+02,1.095167228523885115e+03,2.551602191063946350e+02,1.090947502498260064e+03,2.875636384474175316e+02,0
1.096296533935268826e+03,2.717836888085626583e+02,1.098407653580956094e+03,2.555821428322686018e+02,1.094185414289581558e+03,2.879852347848567433e+02,0
1.099512770705055800e+03,2.722027308863376902e+02,1.101625325056891143e+03,2.560013719220125381e+02,1.097400216353220458e+03,2.884040898506628423e+02,0
1.102706203030140387e+03,2.726191037844701555e+02,1.104820373809689727e+03,2.564179556740651833e+02,1.100592032250591274e+03,2.888202518948750708e+02,0
1.105876958120229347e+03,2.730328562771990164e+02,1.107992930756271790e+03,2.568319434021818211e+02,1.103760985484186904e+03,2.892337691522162118e+02,0
1.109025163185028987e+03,2.734440371387635196e+02,1.111143126873019810e+03,2.572433844359638329e+02,1.106907199497037936e+03,2.896446898415631495e+02,0
1.112150945434245841e+03,2.738526951434023431e+02,1.114271093196303354e+03,2.576523281214049916e+02,1.110030797672188555e+03,2.900530621653996945e+02,0
1.115254432077586671e+03,2.742588790653547335e+02,1.117376960822985666e+03,2.580588238214572243e+02,1.113131903332187676e+03,2.904589343092522995e+02,0
1.118335750324758010e+03,2.746626376788597099e+02,1.120460860910913198e+03,2.584629209166138821e+02,1.116210639738602595e+03,2.908623544411054809e+02,0
1.121395027385466392e+03,2.750640197581561779e+02,1.123522924679382868e+03,2.588646688055123946e+02,1.119267130091549916e+03,2.912633707107999612e+02,0
1.124432390469418124e+03,2.754630740774832134e+02,1.126563283409585438e+03,2.592641169055563068e+02,1.122301497529250810e+03,2.916620312494101768e+02,0
1.127447966786320194e+03,2.758598494110798924e+02,1.129582068445030245e+03,2.596613146535572696e+02,1.125313865127610143e+03,2.920583841686025153e+02,0
