x_central,y_central,x_border1,y_border1,x_border2,y_border2
5.571512398013176437e+01,1.878003797849137513e+01,5.566985283760558190e+01,1.907660251388691819e+01,5.576039512265794684e+01,1.848347344309583207e+01
5.637525650188032955e+01,1.888080846825471326e+01,5.632998535935414708e+01,1.917737300365025632e+01,5.642052764440651202e+01,1.858424393285917020e+01
5.703538902362889473e+01,1.898157895801805495e+01,5.699011788110271226e+01,1.927814349341359801e+01,5.708066016615507721e+01,1.868501442262251189e+01
5.769552154537745992e+01,1.908234944778139308e+01,5.765025040285127744e+01,1.937891398317693614e+01,5.774079268790364239e+01,1.878578491238585002e+01
5.835565406712602510e+01,1.918311993754473477e+01,5.831038292459984262e+01,1.947968447294027783e+01,5.840092520965220757e+01,1.888655540214919171e+01
5.901578658887459028e+01,1.928389042730807290e+01,5.897051544634840781e+01,1.958045496270361596e+01,5.906105773140077275e+01,1.898732589191252984e+01
5.967591911062315546e+01,1.938466091707141103e+01,5.963064796809697299e+01,1.968122545246695410e+01,5.972119025314933793e+01,1.908809638167586797e+01
6.033605163237172064e+01,1.948543140683475272e+01,6.029099315740723597e+01,1.978202832831890134e+01,6.038111010733620532e+01,1.918883448535060410e+01
6.099632727583078662e+01,1.958525496894896278e+01,6.095170622574527641e+01,1.988191801330950881e+01,6.104094832591629682e+01,1.928859192458841676e+01
6.165675412795622634e+01,1.968407809816955023e+01,6.161235783715387981e+01,1.998077486148690340e+01,6.170115041875857287e+01,1.938738133485219706e+01
6.231718098008165896e+01,1.978290122739013768e+01,6.227278468927931243e+01,2.007959799070749085e+01,6.236157727088400549e+01,1.948620446407278450e+01
6.297760783220709868e+01,1.988172435661072512e+01,6.293321154140475215e+01,2.017842111992807830e+01,6.302200412300944521e+01,1.958502759329337195e+01
6.363803468433253840e+01,1.998054748583131257e+01,6.359363839353019188e+01,2.027724424914866574e+01,6.368243097513488493e+01,1.968385072251395940e+01
6.429846153645797813e+01,2.007937061505190357e+01,6.425406524565562449e+01,2.037606737836925674e+01,6.434285782726033176e+01,1.978267385173455040e+01
6.495888838858340364e+01,2.017819374427249102e+01,6.491463857265665638e+01,2.047491238842962602e+01,6.500313820451015090e+01,1.988147510011535601e+01
6.561941187200262959e+01,2.027636467102791684e+01,6.557558990372935170e+01,2.057314680508698501e+01,6.566323384027590748e+01,1.997958253696884867e+01
6.628012093954744444e+01,2.037328301780150142e+01,6.623658037225941086e+01,2.067010656639600796e+01,6.632366150683547801e+01,2.007645946920699487e+01
6.694083000709225928e+01,2.047020136457508599e+01,6.689728943980422571e+01,2.076702491316959254e+01,6.698437057438029285e+01,2.017337781598057944e+01
6.760153907463707412e+01,2.056711971134867056e+01,6.755799850734904055e+01,2.086394325994317711e+01,6.764507964192510769e+01,2.027029616275416402e+01
6.826224814218188897e+01,2.066403805812225869e+01,6.821870757489385539e+01,2.096086160671676524e+01,6.830578870946992254e+01,2.036721450952775214e+01
6.892295720972670381e+01,2.076095640489584326e+01,6.887941664243867024e+01,2.105777995349034981e+01,6.896649777701473738e+01,2.046413285630133672e+01
6.958366627727151865e+01,2.085787475166942784e+01,6.954035629265769103e+01,2.115473203258527235e+01,6.962697626188534628e+01,2.056101747075358332e+01
7.024452448263710380e+01,2.095376642484654184e+01,7.020162881000302946e+01,2.125068385658349612e+01,7.028742015527117815e+01,2.065684899310958755e+01
7.090550147904524181e+01,2.104884033344679395e+01,7.086278952560657274e+01,2.134578424908315242e+01,7.094821343248391088e+01,2.075189641781043548e+01
7.156647847545339403e+01,2.114391424204704606e+01,7.152376652201472496e+01,2.144085815768340453e+01,7.160919042889206310e+01,2.084697032641068759e+01
7.222745547186153203e+01,2.123898815064729817e+01,7.218474351842286296e+01,2.153593206628365664e+01,7.227016742530020110e+01,2.094204423501093970e+01
7.288843246826968425e+01,2.133406205924755383e+01,7.284572051483101518e+01,2.163100597488391230e+01,7.293114442170835332e+01,2.103711814361119536e+01
7.354940946467782226e+01,2.142913596784780594e+01,7.350674390417732695e+01,2.172608655287362822e+01,7.359207502517831756e+01,2.113218538282198367e+01
7.421041589305363573e+01,2.152400330413806273e+01,7.416814630358996396e+01,2.182101051247916246e+01,7.425268548251730749e+01,2.122699609579696300e+01
7.487164406884387802e+01,2.161731427572430420e+01,7.482972411485876307e+01,2.191437103369807105e+01,7.491356402282899296e+01,2.132025751775053735e+01
7.553287224463412031e+01,2.171062524731054566e+01,7.549095229064900536e+01,2.200768200528431251e+01,7.557479219861923525e+01,2.141356848933677881e+01
7.619410042042436260e+01,2.180393621889678357e+01,7.615218046643924765e+01,2.210099297687055042e+01,7.623602037440947754e+01,2.150687946092301672e+01
7.685532859621461910e+01,2.189724719048302504e+01,7.681340864222950415e+01,2.219430394845679189e+01,7.689724855019973404e+01,2.160019043250925819e+01
7.751655677200486139e+01,2.199055816206926650e+01,7.747464138215121920e+01,2.228761556408682054e+01,7.755847216185850357e+01,2.169350076005171246e+01
7.817778778970279063e+01,2.208384881119371101e+01,7.813624441559423417e+01,2.238095846783192400e+01,7.821933116381134710e+01,2.178673915455549803e+01
7.883924758437652258e+01,2.217550347778220043e+01,7.879807172541164562e+01,2.247266429053937387e+01,7.888042344334139955e+01,2.187834266502502700e+01
7.950070737905025453e+01,2.226715814437068985e+01,7.945953152008537757e+01,2.256431895712786329e+01,7.954188323801513150e+01,2.196999733161351642e+01
8.016216717372398648e+01,2.235881281095917927e+01,8.012099131475910951e+01,2.265597362371635271e+01,8.020334303268886345e+01,2.206165199820200584e+01
8.082362696839771843e+01,2.245046747754766869e+01,8.078245110943284146e+01,2.274762829030484212e+01,8.086480282736259539e+01,2.215330666479049526e+01
8.148508676307145038e+01,2.254212214413615811e+01,8.144398947413452561e+01,2.283929383330259810e+01,8.152618405200837515e+01,2.224495045496971812e+01
8.214659462247651334e+01,2.263342697845565255e+01,8.210583872549898388e+01,2.293064568052797725e+01,8.218735051945404280e+01,2.233620827638332784e+01
8.280826324104586433e+01,2.272356175020207303e+01,8.276777019483878917e+01,2.302081637709435924e+01,8.284875628725293950e+01,2.242630712330978682e+01
8.346993185961522954e+01,2.281369652194849706e+01,8.342943881340815437e+01,2.311095114884078328e+01,8.351042490582230471e+01,2.251644189505621085e+01
8.413160047818459475e+01,2.290383129369491755e+01,8.409110743197751958e+01,2.320108592058720376e+01,8.417209352439166992e+01,2.260657666680263134e+01
8.479326909675394575e+01,2.299396606544133803e+01,8.475277605054687058e+01,2.329122069233362424e+01,8.483376214296102091e+01,2.269671143854905182e+01
8.545493771532331095e+01,2.308410083718775851e+01,8.541467456145467452e+01,2.338138669026615801e+01,8.549520086919194739e+01,2.278681498410935902e+01
8.611674470173755935e+01,2.317321207184576792e+01,8.607678441775620115e+01,2.347053878726859821e+01,8.615670498571891756e+01,2.287588535642293763e+01
8.677859558979598376e+01,2.326199855647905679e+01,8.673870826157447311e+01,2.355933506793930476e+01,8.681848291801749440e+01,2.296466204501880881e+01
8.744044647785440816e+01,2.335078504111234921e+01,8.740055914963289752e+01,2.364812155257259718e+01,8.748033380607591880e+01,2.305344852965210123e+01
8.810229736591283256e+01,2.343957152574564162e+01,8.806241003769132192e+01,2.373690803720588960e+01,8.814218469413434320e+01,2.314223501428539365e+01
8.876414825397125696e+01,2.352835801037893404e+01,8.872441071072192642e+01,2.382571457690556471e+01,8.880388579722058751e+01,2.323100144385230337e+01
8.942608802061037920e+01,2.361647761868506379e+01,8.938660547081504149e+01,2.391386815024526413e+01,8.946557057040571692e+01,2.331908708712486344e+01
9.008809020148059687e+01,2.370412891873445815e+01,9.004871285493341304e+01,2.400153339849040179e+01,9.012746754802778071e+01,2.340672443897851451e+01
9.075009238235080034e+01,2.379178021878384897e+01,9.071071503580361650e+01,2.408918469853979261e+01,9.078946972889798417e+01,2.349437573902790533e+01
9.141209456322101801e+01,2.387943151883323978e+01,9.137271721667383417e+01,2.417683599858918342e+01,9.145147190976820184e+01,2.358202703907729614e+01
9.207409674409123568e+01,2.396708281888263414e+01,9.203485737834085967e+01,2.426450553518975894e+01,9.211333610984161169e+01,2.366966010257550934e+01
9.273617984896038990e+01,2.405411981250804843e+01,9.269713665256277579e+01,2.435156834387954206e+01,9.277522304535800401e+01,2.375667128113655480e+01
9.339829707214576615e+01,2.414089780878905600e+01,9.335931205731652938e+01,2.443835397130508724e+01,9.343728208697500293e+01,2.384344164627302476e+01
9.406041429533114240e+01,2.422767580507006357e+01,9.402142928050190562e+01,2.452513196758609482e+01,9.409939931016037917e+01,2.393021964255403233e+01
9.472253151851651864e+01,2.431445380135107115e+01,9.468355837399921882e+01,2.461191151936563770e+01,9.476150466303381847e+01,2.401699608333650460e+01
9.538465564550696740e+01,2.440117894985538527e+01,9.534580700128117314e+01,2.469865295349573131e+01,9.542350428973276166e+01,2.410370494621503923e+01
9.604684527621289192e+01,2.448740267549295524e+01,9.600810926747021767e+01,2.478489136708758878e+01,9.608558128495556616e+01,2.418991398389832170e+01
9.670903490691880222e+01,2.457362640113052876e+01,9.667029889817612798e+01,2.487111509272516230e+01,9.674777091566147647e+01,2.427613770953589523e+01
9.737122453762472674e+01,2.465985012676810229e+01,9.733248852888205249e+01,2.495733881836273582e+01,9.740996054636740098e+01,2.436236143517346875e+01
9.803341416833063704e+01,2.474607385240567581e+01,9.799470660963865498e+01,2.504356624709856050e+01,9.807212172702261910e+01,2.444858145771279112e+01
9.869562027466621146e+01,2.483217092097148537e+01,9.865695057265283197e+01,2.512966823885216172e+01,9.873428997667959095e+01,2.453467360309080902e+01
9.935783182812993175e+01,2.491822611451861746e+01,9.931917153242888219e+01,2.521572465491219361e+01,9.939649212383098131e+01,2.462072757412504131e+01
1.000200433815936520e+02,2.500428130806574956e+01,9.998138308589260248e+01,2.530177984845932571e+01,1.000587036772947016e+02,2.470678276767217341e+01
1.006822549350573723e+02,2.509033650161288520e+01,1.006435509286407921e+02,2.538782935848058386e+01,1.007209589414739526e+02,2.479284364474518654e+01
1.013444411572310315e+02,2.517658628555689759e+01,1.013056709543964331e+02,2.547407052273958428e+01,1.013832113600656299e+02,2.487910204837421091e+01
1.020066143475400366e+02,2.526293617793230339e+01,1.019678216583903918e+02,2.556041748367862709e+01,1.020454070366896815e+02,2.496545487218597970e+01
1.026687875378490560e+02,2.534928607030770564e+01,1.026299948486994111e+02,2.564676737605402934e+01,1.027075802269987008e+02,2.505180476456138194e+01
1.033309607281580753e+02,2.543563596268310789e+01,1.032920138463419590e+02,2.573309712047820597e+01,1.033699076099741916e+02,2.513817480488800982e+01
1.039930439611542710e+02,2.552267226565169267e+01,1.039539067288923064e+02,2.582010843872227568e+01,1.040321811934162355e+02,2.522523609258110966e+01
1.046551060909811355e+02,2.560986959431708954e+01,1.046159326910781999e+02,2.590730100614180742e+01,1.046942794908840710e+02,2.531243818249237165e+01
1.053171682208080000e+02,2.569706692298248996e+01,1.052779310463884883e+02,2.599448992838653183e+01,1.053564053952275117e+02,2.539964391757844808e+01
1.059791926345561137e+02,2.578454812863626699e+01,1.059396178747263377e+02,2.608192640353948732e+01,1.060187673943858897e+02,2.548716985373304666e+01
1.066410550996236424e+02,2.587324827075569189e+01,1.066012065607764896e+02,2.617058998318727703e+01,1.066809036384707952e+02,2.557590655832410675e+01
1.073029175646911568e+02,2.596194841287511323e+01,1.072630690258440040e+02,2.625929012530669837e+01,1.073427661035383096e+02,2.566460670044352810e+01
1.079647800297586855e+02,2.605064855499453458e+01,1.079245301378282136e+02,2.634793620391319635e+01,1.080050299216891574e+02,2.575336090607587280e+01
1.086263999463132848e+02,2.614113521402859774e+01,1.085856391077068253e+02,2.643835323844182028e+01,1.086671607849197443e+02,2.584391718961537521e+01
1.092879535685188443e+02,2.623211017115397325e+01,1.092470830690302677e+02,2.652931313592982221e+01,1.093288240680074210e+02,2.593490720637812430e+01
