x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
2.587759993933881475e+01,5.858933572944883927e+00,2.584983033714292588e+01,6.006340659592311226e+00,2.590536954153470361e+01,5.711526486297456628e+00,1
2.690402463936009170e+01,6.052298805593448350e+00,2.687625503716420283e+01,6.199705892240874761e+00,2.693179424155598056e+01,5.904891718946021939e+00,1
2.690402463936009170e+01,6.052298805593448350e+00,2.693305555057221312e+01,5.905134930290458328e+00,2.687499372814797027e+01,6.199462680896438371e+00,0
2.690109674807140649e+01,6.051721222597175931e+00,2.693012765928352792e+01,5.904557347294185909e+00,2.687206583685928507e+01,6.198885097900165952e+00,0
2.690109674807140649e+01,6.051721222597175931e+00,2.693012765928352081e+01,5.904557347294185021e+00,2.687206583685929218e+01,6.198885097900166841e+00,0
2.590268581863008990e+01,5.854765420868397463e+00,2.593171672984220422e+01,5.707601545565406553e+00,2.587365490741797558e+01,6.001929296171388373e+00,0
2.590268581863008990e+01,5.854765420868397463e+00,2.593171672984221132e+01,5.707601545565407442e+00,2.587365490741796847e+01,6.001929296171387485e+00,0
2.589975792734140470e+01,5.854187837872125044e+00,2.592878883855352612e+01,5.707023962569135023e+00,2.587072701612928327e+01,6.001351713175115066e+00,0
2.589975792734140470e+01,5.854187837872125044e+00,2.587191970802714991e+01,6.001581981396932441e+00,2.592759614665565948e+01,5.706793694347317647e+00,1
2.690557591913641033e+01,6.044155913782134348e+00,2.687773769982215555e+01,6.191550057306941746e+00,2.693341413845066512e+01,5.896761770257326951e+00,1
2.690557591913641033e+01,6.044155913782134348e+00,2.693091817760593898e+01,5.896312178927851200e+00,2.688023366066688169e+01,6.191999648636417497e+00,0
2.690263409419704033e+01,6.043651648328754789e+00,2.692797635266656897e+01,5.895807913474471640e+00,2.687729183572751168e+01,6.191495383183037937e+00,0
2.690263409419704033e+01,6.043651648328754789e+00,2.692797635266656542e+01,5.895807913474470752e+00,2.687729183572751523e+01,6.191495383183038825e+00,0
2.589947178987197418e+01,5.871697128726374615e+00,2.592481404834149927e+01,5.723853393872090578e+00,2.587412953140244909e+01,6.019540863580658652e+00,0
2.589947178987197418e+01,5.871697128726374615e+00,2.592481404834143177e+01,5.723853393872079032e+00,2.587412953140251659e+01,6.019540863580670198e+00,0
2.589652996493260062e+01,5.871192863272995943e+00,2.592187222340205821e+01,5.723349128418700360e+00,2.587118770646314303e+01,6.019036598127291526e+00,0
2.589652996493260062e+01,5.871192863272995943e+00,2.586956417076142145e+01,6.018749109988333679e+00,2.592349575910377979e+01,5.723636616557658208e+00,1
