x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
2.387824458488130404e+03,2.499390950424058246e+03,2.387737111876747804e+03,2.499269005479595762e+03,2.387911805099513003e+03,2.499512895368520731e+03,1
2.387280668323302507e+03,2.499780455937469924e+03,2.387193321711919907e+03,2.499658510993007440e+03,2.387368014934685107e+03,2.499902400881932408e+03,1
2.386736878158475065e+03,2.500169961450881146e+03,2.386649477223917984e+03,2.500048055435284823e+03,2.386824279093032146e+03,2.500291867466477470e+03,1
2.386193435820313425e+03,2.500559950996655061e+03,2.386105848030029847e+03,2.500438179164964367e+03,2.386281023610597003e+03,2.500681722828345755e+03,1
2.385650842924830158e+03,2.500951122618979753e+03,2.385563122688523890e+03,2.500829446162167642e+03,2.385738563161136426e+03,2.501072799075791863e+03,1
2.385108250029346891e+03,2.501342294241304899e+03,2.385020393911353494e+03,2.501220715861108602e+03,2.385196106147340288e+03,2.501463872621501196e+03,1
2.384566533518462620e+03,2.501734676528756154e+03,2.384478441367780306e+03,2.501613269061983374e+03,2.384654625669144934e+03,2.501856083995528934e+03,1
2.384025464625358836e+03,2.502127953455687930e+03,2.383937272274494262e+03,2.502006618756409352e+03,2.384113656976223410e+03,2.502249288154966507e+03,1
2.383484395732255507e+03,2.502521230382619706e+03,2.383395896542137507e+03,2.502400119304065811e+03,2.383572894922373507e+03,2.502642341461173601e+03,1
2.382945326012368241e+03,2.502917240394641340e+03,2.382856461963169295e+03,2.502796396773544075e+03,2.383034190061567188e+03,2.503038084015738605e+03,1
2.382406639133509543e+03,2.503313773791578569e+03,2.382317695723398174e+03,2.503192988569809586e+03,2.382495582543620912e+03,2.503434559013347553e+03,1
2.381868089139303265e+03,2.503710492413262727e+03,2.381778918387685280e+03,2.503589874930882161e+03,2.381957259890921250e+03,2.503831109895643294e+03,1
2.381330899822758965e+03,2.504109052228763630e+03,2.381241522784132940e+03,2.503988587524528612e+03,2.381420276861384991e+03,2.504229516932998649e+03,1
2.380793710506214666e+03,2.504507612044264079e+03,2.380704261245139605e+03,2.504387200958009089e+03,2.380883159767289726e+03,2.504628023130519068e+03,1
2.380257000390006851e+03,2.504906815239762636e+03,2.380167327812358053e+03,2.504786570369527908e+03,2.380346672967655650e+03,2.505027060109997365e+03,1
2.379721294142584156e+03,2.505307366241275759e+03,2.379631470580494806e+03,2.505187234115291176e+03,2.379811117704673507e+03,2.505427498367260341e+03,1
2.379185587895161007e+03,2.505707917242789335e+03,2.379095670130100189e+03,2.505587855610589486e+03,2.379275505660221825e+03,2.505827978874989185e+03,1
2.378650511258340885e+03,2.506109307727932446e+03,2.378560417352776767e+03,2.505989378214550015e+03,2.378740605163905002e+03,2.506229237241314877e+03,1
2.378115983247929307e+03,2.506511429717416377e+03,2.378025807391787566e+03,2.506391561811081374e+03,2.378206159104071048e+03,2.506631297623751379e+03,1
2.377581455237517275e+03,2.506913551706900307e+03,2.377490892942435494e+03,2.506793975493925245e+03,2.377672017532599057e+03,2.507033127919875369e+03,1
2.377049538198782557e+03,2.507319113025212118e+03,2.376958454814736342e+03,2.507199933257001703e+03,2.377140621582828771e+03,2.507438292793422534e+03,1
2.376518541046409609e+03,2.507725886073130823e+03,2.376427322190413634e+03,2.507606809961710951e+03,2.376609759902405585e+03,2.507844962184550695e+03,1
2.375987543894036207e+03,2.508132659121049528e+03,2.375896287947512064e+03,2.508013611432184916e+03,2.376078799840560350e+03,2.508251706809914140e+03,1
2.375456800291316995e+03,2.508539762919401710e+03,2.375365504299882105e+03,2.508420745937638912e+03,2.375548096282751885e+03,2.508658779901164507e+03,1
2.374926076952649964e+03,2.508946893151803579e+03,2.374834757449893459e+03,2.508827894208882753e+03,2.375017396455406470e+03,2.509065892094724404e+03,1
2.374395494529449934e+03,2.509354206409967901e+03,2.374303965827534284e+03,2.509235368298548565e+03,2.374487023231365583e+03,2.509473044521387237e+03,1
2.373866206903100647e+03,2.509763201393965119e+03,2.373774489777939380e+03,2.509644508643756126e+03,2.373957924028261914e+03,2.509881894144174112e+03,1
2.373336919276751814e+03,2.510172196377962337e+03,2.373245160076834964e+03,2.510053536151978278e+03,2.373428678476668665e+03,2.510290856603946395e+03,1
2.372807922187759232e+03,2.510581566250081323e+03,2.372715994594600488e+03,2.510463036432668105e+03,2.372899849780917975e+03,2.510700096067494542e+03,1
2.372279798158556787e+03,2.510992062654597248e+03,2.372187744339843903e+03,2.510873630841048453e+03,2.372371851977269671e+03,2.511110494468146044e+03,1
2.371751674129354797e+03,2.511402559059113173e+03,2.371659422940885634e+03,2.511284280919856428e+03,2.371843925317823960e+03,2.511520837198369918e+03,1
2.371224926623242027e+03,2.511814811079848823e+03,2.371132176846862876e+03,2.511696923510607576e+03,2.371317676399621178e+03,2.511932698649090071e+03,1
2.370700287888037110e+03,2.512229752624965840e+03,2.370607237246544628e+03,2.512112102388596213e+03,2.370793338529529592e+03,2.512347402861335468e+03,1
2.370175649152832193e+03,2.512644694170082403e+03,2.370082580674051769e+03,2.512527058043584475e+03,2.370268717631612617e+03,2.512762330296580330e+03,1
2.369651136292388856e+03,2.513059794772083933e+03,2.369558033599376813e+03,2.512942185722458362e+03,2.369744238985400898e+03,2.513177403821709504e+03,1
2.369126739043560519e+03,2.513475041462332683e+03,2.369033619973272380e+03,2.513357445379283035e+03,2.369219858113848659e+03,2.513592637545382331e+03,1
2.368602341794732183e+03,2.513890288152581434e+03,2.368509016709154821e+03,2.513772855497829823e+03,2.368695666880309545e+03,2.514007720807333044e+03,1
2.368079405574818338e+03,2.514307369453259071e+03,2.367985755694573072e+03,2.514190195651025078e+03,2.368173055455063604e+03,2.514424543255493063e+03,1
2.367557315858143738e+03,2.514725513705980575e+03,2.367463547009470858e+03,2.514608435087016460e+03,2.367651084706816619e+03,2.514842592324944690e+03,1
2.367035226141469138e+03,2.515143657958701624e+03,2.366941433883367154e+03,2.515026598092307722e+03,2.367129018399571123e+03,2.515260717825095526e+03,1
2.366513303707933119e+03,2.515562010962220484e+03,2.366419479488815796e+03,2.515444976711220988e+03,2.366607127927050442e+03,2.515679045213219979e+03,1
2.365991442427078255e+03,2.515980440277500747e+03,2.365897609653126892e+03,2.515863412885269099e+03,2.366085275201029617e+03,2.516097467669732396e+03,1
2.365469581146223391e+03,2.516398869592781011e+03,2.365375358238695753e+03,2.516282156081579615e+03,2.365563804053751028e+03,2.516515583103982408e+03,1
2.364950527647437411e+03,2.516820771581191821e+03,2.364855828670275514e+03,2.516704444010408224e+03,2.365045226624599309e+03,2.516937099151975417e+03,1
2.364432102903163923e+03,2.517243451215036202e+03,2.364337316995274250e+03,2.517127194466133005e+03,2.364526888811053595e+03,2.517359707963939400e+03,1
2.363913678158890889e+03,2.517666130848880130e+03,2.363818892251001216e+03,2.517549874099976932e+03,2.364008464066780562e+03,2.517782387597783327e+03,1
2.363395253414617855e+03,2.518088810482724512e+03,2.363300467506728182e+03,2.517972553733821314e+03,2.363490039322507528e+03,2.518205067231627709e+03,1
2.362876828670344821e+03,2.518511490116568893e+03,2.362782042762455148e+03,2.518395233367665696e+03,2.362971614578234494e+03,2.518627746865472091e+03,1
2.362358403926071787e+03,2.518934169750412821e+03,2.362263295690023824e+03,2.518818176546147242e+03,2.362453512162119750e+03,2.519050162954678399e+03,1
2.361842334059144832e+03,2.519359720478817053e+03,2.361746886561738393e+03,2.519244006282458940e+03,2.361937781556551272e+03,2.519475434675175165e+03,1
2.361326393705529426e+03,2.519785429111396752e+03,2.361230928544673588e+03,2.519669729487098721e+03,2.361421858866385264e+03,2.519901128735694783e+03,1
2.360810453351914020e+03,2.520211137743975996e+03,2.360714961711677915e+03,2.520095459973229026e+03,2.360905944992150125e+03,2.520326815514722966e+03,1
2.360294707929564993e+03,2.520637082513075711e+03,2.360199189435578319e+03,2.520521426915257962e+03,2.360390226423551667e+03,2.520752738110893461e+03,1
2.359778965300809432e+03,2.521063030666288796e+03,2.359683443778055334e+03,2.520947377569958462e+03,2.359874486823563529e+03,2.521178683762619130e+03,1
2.359263242244495814e+03,2.521489002401366633e+03,2.359167440652809546e+03,2.521373581194344752e+03,2.359359043836182082e+03,2.521604423608388515e+03,1
2.358749570714932815e+03,2.521917445919298189e+03,2.358653492256036770e+03,2.521802255078793678e+03,2.358845649173828861e+03,2.522032636759802699e+03,1
2.358235899185369362e+03,2.522345889437229744e+03,2.358139809492718086e+03,2.522230707967512899e+03,2.358331988878020638e+03,2.522461070906946588e+03,1
2.357722311509680367e+03,2.522774432911638996e+03,2.357625895364458302e+03,2.522659524570164194e+03,2.357818727654902432e+03,2.522889341253113798e+03,1
2.357211079748136854e+03,2.523205784710442003e+03,2.357114349107255293e+03,2.523091140987915878e+03,2.357307810389018414e+03,2.523320428432968129e+03,1
2.356699847986593340e+03,2.523637136509244556e+03,2.356603121331794682e+03,2.523522489423579373e+03,2.356796574641391999e+03,2.523751783594909739e+03,1
