x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
nan,nan,nan,nan,nan,nan,0
3.712759717401635129e+01,4.379520275916365790e+01,nan,nan,nan,nan,0
3.779828400469834548e+01,4.401740716517399221e+01,3.775099604648167428e+01,4.415975831201762958e+01,3.784557196291501668e+01,4.387505601833035485e+01,0
3.846861623834214328e+01,4.424067899794140857e+01,3.842109093352456028e+01,4.438295108024146884e+01,3.851614154315972627e+01,4.409840691564134829e+01,0
3.913855813888730495e+01,4.446511929348961445e+01,3.909078023018865622e+01,4.460730674525798634e+01,3.918633604758595368e+01,4.432293184172124256e+01,0
3.980809304163606299e+01,4.469077075790897169e+01,3.976004923135745628e+01,4.483286858440154532e+01,3.985613685191466971e+01,4.454867293141639806e+01,0
4.047719052377905768e+01,4.491771594412098523e+01,4.042886172445413706e+01,4.505971709607339193e+01,4.052551932310397831e+01,4.477571479216857853e+01,0
4.114581458256891722e+01,4.514605210609154540e+01,4.109718599125780258e+01,4.528795087320069257e+01,4.119444317388003185e+01,4.500415333898239822e+01,0
4.181394746750279978e+01,4.537582145428817171e+01,4.176500486397413425e+01,4.551761222112379812e+01,4.186289007103146531e+01,4.523403068745254529e+01,0
4.248155397676184464e+01,4.560711572149175197e+01,4.243227812975052871e+01,4.574879102244896245e+01,4.253082982377316057e+01,4.546544042053454149e+01,0
4.314859897865021310e+01,4.584002434097613587e+01,4.309897571737025146e+01,4.598157833046403908e+01,4.319822223993017474e+01,4.569847035148823267e+01,0
4.381506257915857816e+01,4.607459138950508759e+01,4.376507606314405052e+01,4.621601751232802968e+01,4.386504909517310580e+01,4.593316526668214550e+01,0
4.448090284239743397e+01,4.631092198769163559e+01,4.443053397481197209e+01,4.645221238785441642e+01,4.453127170998289586e+01,4.616963158752885477e+01,0
4.514608772367911627e+01,4.654909092507181612e+01,4.509532330467535388e+01,4.669023968972532401e+01,4.519685214268287865e+01,4.640794216041830822e+01,0
4.581059359936197239e+01,4.678914777236412448e+01,4.575941512565473346e+01,4.693014693487581468e+01,4.586177207306921133e+01,4.664814860985243428e+01,0
4.647436893385258116e+01,4.703121722837551744e+01,4.642275792191359329e+01,4.717205864077482858e+01,4.652597994579156904e+01,4.689037581597620630e+01,0
4.713738858980536861e+01,4.727534874781454022e+01,4.708533336818324955e+01,4.741602658509487611e+01,4.718944381142748767e+01,4.713467091053420432e+01,0
4.779962283294928227e+01,4.752160282682333303e+01,4.774734236529577913e+01,4.766219711085341260e+01,4.785190330060278541e+01,4.738100854279325347e+01,0
4.779962283294928227e+01,4.752160282682333303e+01,4.774703341907040510e+01,4.766208184144073812e+01,4.785221224682815944e+01,4.738112381220592795e+01,0
4.799596170240305071e+01,4.759510381267759982e+01,4.794337228852417354e+01,4.773558282729500490e+01,4.804855111628192788e+01,4.745462479806019473e+01,0
4.799596170240305071e+01,4.759510381267759982e+01,4.794302808175105213e+01,4.773545348957309642e+01,4.804889532305504929e+01,4.745475413578210322e+01,1
4.873146612262897293e+01,4.787250318280294437e+01,4.867776968029995999e+01,4.801256278469159611e+01,4.878516256495798586e+01,4.773244358091429262e+01,1
4.946378506896495963e+01,4.815784204475136931e+01,4.939569323383813781e+01,4.829149645728257667e+01,4.953187690409178146e+01,4.802418763222016196e+01,1
5.012256830522160556e+01,4.858121678729801829e+01,5.002834066983935202e+01,4.869792648154091097e+01,5.021679594060385909e+01,4.846450709305512561e+01,1
5.067709177847197566e+01,4.913742667113495344e+01,5.056646780061497282e+01,4.923872985727978602e+01,5.078771575632897850e+01,4.903612348499012086e+01,1
5.118288135818876583e+01,4.973908804640367265e+01,5.106627699103800921e+01,4.983344599022066745e+01,5.129948572533952245e+01,4.964473010258667784e+01,1
5.166582273692997518e+01,5.035926706982949952e+01,5.154615026674263589e+01,5.044970212873510462e+01,5.178549520711731446e+01,5.026883201092389442e+01,1
5.213059783942757264e+01,5.099319871675196936e+01,5.200882265122022119e+01,5.108078184033787039e+01,5.225237302763492409e+01,5.090561559316606832e+01,1
5.258373048383697324e+01,5.163552194702571541e+01,5.246116085679179974e+01,5.172198978223632082e+01,5.270630011088214673e+01,5.154905411181510999e+01,1
