x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
1.508903975391911523e+01,1.536914968066196607e+01,1.502303090863116353e+01,1.550384501222082712e+01,1.515504859920706693e+01,1.523445434910310503e+01,1
1.630528695952066798e+01,1.596518424769054612e+01,1.621738756347605914e+01,1.608673134216422440e+01,1.639318635556527681e+01,1.584363715321686783e+01,1
1.722690871672109481e+01,1.691519561015558892e+01,1.711924623672642198e+01,1.701964076514803637e+01,1.733457119671576763e+01,1.681075045516314148e+01,1
1.722690871672109481e+01,1.691519561015558892e+01,1.731503171289378784e+01,1.679381053057186435e+01,1.713878572054840177e+01,1.703658068973931350e+01,0
1.722554992273363439e+01,1.691420915450743934e+01,1.731367291890632742e+01,1.679282407492371476e+01,1.713742692656094135e+01,1.703559423409116391e+01,0
1.722554992273363439e+01,1.691420915450743934e+01,1.731367291890619953e+01,1.679282407492362239e+01,1.713742692656106925e+01,1.703559423409125628e+01,0
1.616365242153111126e+01,1.614329406547863499e+01,1.625177541770367640e+01,1.602190898589481804e+01,1.607552942535854612e+01,1.626467914506245194e+01,0
1.510175492032856326e+01,1.537237897644981288e+01,1.518987791650113017e+01,1.525099389686599416e+01,1.501363192415599634e+01,1.549376405603363160e+01,0
1.510175492032856326e+01,1.537237897644981288e+01,1.518987791650118169e+01,1.525099389686603324e+01,1.501363192415594483e+01,1.549376405603359252e+01,0
1.510039612634110107e+01,1.537139252080166330e+01,1.518851912251371949e+01,1.525000744121788365e+01,1.501227313016848264e+01,1.549277760038544294e+01,0
1.510039612634110107e+01,1.537139252080166330e+01,1.504847526363875687e+01,1.551212000218410125e+01,1.515231698904344526e+01,1.523066503941922534e+01,1
1.520304929062118049e+01,1.540926601072836100e+01,1.515112842791883629e+01,1.554999349211079895e+01,1.525497015332352468e+01,1.526853852934592304e+01,1
1.520304929062118049e+01,1.540926601072836100e+01,1.514672324020750338e+01,1.554828894424940344e+01,1.525937534103485760e+01,1.527024307720731855e+01,0
1.522126264114463545e+01,1.541664526876732921e+01,1.516493659073095834e+01,1.555566820228836988e+01,1.527758869155831256e+01,1.527762233524628854e+01,0
1.522126264114463545e+01,1.541664526876732921e+01,1.516479916852117071e+01,1.555561244568079715e+01,1.527772611376810019e+01,1.527767809185386128e+01,0
1.523934182334010856e+01,1.542399098472430197e+01,1.518287835071664382e+01,1.556295816163776990e+01,1.529580529596357330e+01,1.528502380781083403e+01,0
1.523934182334010856e+01,1.542399098472430197e+01,1.517079155802683843e+01,1.555741085253071354e+01,1.530789208865337869e+01,1.529057111691789039e+01,1
1.637391383356499119e+01,1.600692674681615557e+01,1.628412439740354856e+01,1.612708438142091083e+01,1.646370326972643383e+01,1.588676911221140031e+01,1
1.723089470489542308e+01,1.691220611902484094e+01,1.712196262681414538e+01,1.701532644856705545e+01,1.733982678297670077e+01,1.680908578948262644e+01,1
1.723089470489542308e+01,1.691220611902484094e+01,1.731834923789611125e+01,1.679033854886102972e+01,1.714344017189473490e+01,1.703407368918865217e+01,0
1.722953102819982263e+01,1.691122751816804737e+01,1.731698556120051080e+01,1.678935994800423614e+01,1.714207649519913446e+01,1.703309508833185859e+01,0
1.722953102819982263e+01,1.691122751816804737e+01,1.731698556120060317e+01,1.678935994800430365e+01,1.714207649519904209e+01,1.703309508833179109e+01,0
1.616381769058700257e+01,1.614645094858186170e+01,1.625127222358778312e+01,1.602458337841811797e+01,1.607636315758622203e+01,1.626831851874560542e+01,0
1.509810435297418785e+01,1.538167437899568135e+01,1.518555888597496839e+01,1.525980680883193585e+01,1.501064981997340730e+01,1.550354194915942685e+01,0
1.509810435297418785e+01,1.538167437899568135e+01,1.518555888597500925e+01,1.525980680883196605e+01,1.501064981997336645e+01,1.550354194915939665e+01,0
1.509674067627858562e+01,1.538069577813888422e+01,1.518419520927940702e+01,1.525882820797516892e+01,1.500928614327776422e+01,1.550256334830259952e+01,0
1.509674067627858562e+01,1.538069577813888422e+01,1.504470832523981372e+01,1.552138207614042464e+01,1.514877302731735753e+01,1.524000948013734380e+01,1
1.519929257743770812e+01,1.541862425160505268e+01,1.514726022639893621e+01,1.555931054960659310e+01,1.525132492847648003e+01,1.527793795360351226e+01,1
1.519929257743770812e+01,1.541862425160505268e+01,1.514309766513375344e+01,1.555770024461301482e+01,1.525548748974166280e+01,1.527954825859709054e+01,0
1.521747238587916584e+01,1.542596996756202543e+01,1.516127747357521116e+01,1.556504596056998757e+01,1.527366729818312052e+01,1.528689397455406329e+01,0
1.521747238587916584e+01,1.542596996756202543e+01,1.516091886908051123e+01,1.556490052481169784e+01,1.527402590267782045e+01,1.528703941031235303e+01,0
1.523551802599264349e+01,1.543331568351899818e+01,1.517896450919398887e+01,1.557224624076867059e+01,1.529207154279129810e+01,1.529438512626932578e+01,0
1.523551802599264349e+01,1.543331568351899818e+01,1.516599315379868784e+01,1.556623028823350730e+01,1.530504289818659913e+01,1.530040107880448907e+01,1
1.641821545464200227e+01,1.605196017144102782e+01,1.632714215536971736e+01,1.617114764628490775e+01,1.650928875391428718e+01,1.593277269659714612e+01,1
1.729886015827946721e+01,1.700995262260184404e+01,1.718842983011409942e+01,1.711146687096772467e+01,1.740929048644483501e+01,1.690843837423596341e+01,1
1.729886015827946721e+01,1.700995262260184404e+01,1.742553181950922792e+01,1.692961402514524849e+01,1.717218849704970651e+01,1.709029122005843959e+01,0
1.729794206357799524e+01,1.700850504217744685e+01,1.742461372480775594e+01,1.692816644472085130e+01,1.717127040234823454e+01,1.708884363963404240e+01,0
1.729794206357799524e+01,1.700850504217744685e+01,1.742461372480777726e+01,1.692816644472088683e+01,1.717127040234821322e+01,1.708884363963400688e+01,0
1.724928304439999494e+01,1.693178327968436747e+01,1.737595470562977695e+01,1.685144468222780745e+01,1.712261138317021292e+01,1.701212187714092750e+01,0
1.724928304439999494e+01,1.693178327968436747e+01,1.737595470562975564e+01,1.685144468222777192e+01,1.712261138317023423e+01,1.701212187714096302e+01,0
1.724836494969852296e+01,1.693033569925997028e+01,1.737503661092828366e+01,1.684999710180337473e+01,1.712169328846876226e+01,1.701067429671656583e+01,0
1.724836494969852296e+01,1.693033569925997028e+01,1.712461126637085940e+01,1.701510023112817649e+01,1.737211863302618653e+01,1.684557116739176408e+01,1
1.730159719217028069e+01,1.700805318241570774e+01,1.717784350884261713e+01,1.709281771428391394e+01,1.742535087549794426e+01,1.692328865054750153e+01,1
1.730159719217028069e+01,1.700805318241570774e+01,1.741716554611438283e+01,1.691242915004595915e+01,1.718602883822617855e+01,1.710367721478545633e+01,0
1.730050132443423649e+01,1.700672874934949519e+01,1.741606967837833864e+01,1.691110471697974660e+01,1.718493297049013435e+01,1.710235278171924378e+01,0
1.730050132443423649e+01,1.700672874934949519e+01,1.741606967837831021e+01,1.691110471697971107e+01,1.718493297049016277e+01,1.710235278171927931e+01,0
1.724242033442375543e+01,1.693653379684010574e+01,1.735798868836782916e+01,1.684090976447032162e+01,1.712685198047968171e+01,1.703215782920988985e+01,0
1.724242033442375543e+01,1.693653379684010574e+01,1.735798868836782916e+01,1.684090976447032517e+01,1.712685198047968171e+01,1.703215782920988630e+01,0
