x,y
3.846912496816170233e+02,-1.296688540366591837e+02
7.703808189800726041e+02,-1.833310404857754463e+02
9.323124819826937255e+02,-2.102105524012430635e+02
9.783851183531775177e+02,-2.242522270841454315e+02
9.757256835060691174e+02,-2.520117594740433447e+02
9.743722299531522140e+02,-2.735826980511053534e+02
9.884968973511922741e+02,-2.873132220647494250e+02
9.899903899450748668e+02,-3.118029741342892294e+02
9.701246675897458545e+02,-3.671017823117413172e+02
9.570112207936317645e+02,-3.894999513230010280e+02
8.756579883755537139e+02,-5.203907672611320550e+02
8.145576939543486787e+02,-6.129515278327234000e+02
7.905431508590659178e+02,-6.469236728356621597e+02
7.973364330647884799e+02,-6.597996022519632788e+02
8.189639603754698101e+02,-6.731155067433738850e+02
8.209915099424367781e+02,-6.841889577241192910e+02
8.107269258301313357e+02,-6.929981296932819532e+02
7.682437949159996151e+02,-7.224987447916761312e+02
7.582774007624224168e+02,-7.271950224649054917e+02
7.503169467418765635e+02,-7.231468667192227713e+02
7.444815029617147957e+02,-7.166034545350660210e+02
7.555028347260079045e+02,-6.383482671754782132e+02
7.695334149523539509e+02,-5.340891307195480522e+02
7.561449374008715267e+02,-5.190047637069126267e+02
7.307185339514379621e+02,-5.026310279728746764e+02
7.104995339758276032e+02,-4.715496316767210487e+02
6.857260294271654857e+02,-4.396525257042529233e+02
6.305583209724907192e+02,-4.286898051263335105e+02
5.883789692100070852e+02,-4.164146416327018301e+02
5.730365069906783901e+02,-3.883831420089481981e+02
5.640721732375682222e+02,-3.671176868347812388e+02
5.379685064599250381e+02,-3.512276946328412350e+02
4.825740335042594893e+02,-3.214081514865522422e+02
4.389845638271307280e+02,-3.082588786450796192e+02
2.909578309948539072e+02,-2.842399398682069886e+02
2.435588373247259710e+02,-2.693668946374095867e+02
2.360275283498219778e+02,-2.141367874052652951e+02
2.322155112222426965e+02,-1.765287692720580424e+02
2.228943461077678023e+02,-1.698148409844065725e+02
2.139247565891883482e+02,-1.760753049886618555e+02
2.041760341184370304e+02,-1.879249751988296566e+02
1.891712222212046868e+02,-1.888338992077030412e+02
1.749276645780070680e+02,-1.812080100248587371e+02
1.462106259727399333e+02,-1.779086876106649129e+02
1.281478490412191320e+02,-1.705312088675075870e+02
1.273855351033664220e+02,-1.582277188169070996e+02
1.376291892831621908e+02,-1.358704468867477431e+02
1.712267615288533875e+02,-1.064836644862562878e+02
2.294774189017190622e+02,-1.056017011711193447e+02
3.846912496816170233e+02,-1.296688540366591837e+02
